access,acquisition_method,best_use,comparator_record_type,data_fit,domain,next_action,priority,public_display_guidance,region,source_file,source_id,source_name,source_package,source_type,url,vendor_positive_required_fields
Developer API key required,account_api_or_commercial_feed,"Large current/historical product catalog with pricing, availability, specifications, descriptions and images; strong for appliances and electronics.",offer_or_catalog,live_retail_offer_source,housewares_kitchen_appliances_clothing,request_api_key_account_or_feed_access,1,show structured facts and source/vendor links; do not clone page layout,US,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,BEST_BUY_PRODUCTS_API,Best Buy Products API,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip,retailer_catalog_api,https://developer.bestbuy.com/apis,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public CSV/API via data.gov / ENERGY STAR data,direct_download_or_public_api,"Certified electric cooking appliances; useful for stoves, ranges and cooktops where covered.",source,verified_appliance_records,housewares_kitchen_appliances_clothing,download_bulk_file_or_call_public_api,1,show structured facts and source/vendor links; do not clone page layout,US/Canada reference,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,ENERGY_STAR_ELECTRIC_COOKING,ENERGY STAR Certified Residential Electric Cooking Products,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip,certified_appliance_dataset,https://catalog.data.gov/dataset/energy-star-certified-residential-electric-cooking-products,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public Socrata/API/CSV export,direct_download_or_public_api,Model-level refrigerator/freezer product records and efficiency metrics.,source,verified_appliance_records,housewares_kitchen_appliances_clothing,download_bulk_file_or_call_public_api,1,show structured facts and source/vendor links; do not clone page layout,US/Canada reference,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,ENERGY_STAR_RESIDENTIAL_REFRIGERATORS,ENERGY STAR Certified Residential Refrigerators,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip,certified_appliance_dataset,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Residential-Refrigerators/p5st-her9,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public searchable product pages,manual_review,Canadian ENERGY STAR product categories and consumer reference lists.,source,verified_product_performance_records,housewares_kitchen_appliances_clothing,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,NRCAN_ENERGY_STAR_PRODUCTS,Natural Resources Canada ENERGY STAR certified products,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip,certified_product_lists,https://natural-resources.canada.ca/energy-efficiency/energy-star/products/list-certified-products,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public browser and standard files,manual_review,"Classification backbone for housewares, kitchenware, appliances, apparel, footwear and accessories.",classification,classification,housewares_kitchen_appliances_clothing;office_supplies_low_cost_general;product_identity_barcode_classification;furnishings_furniture;tools_fasteners_hardware_property_cabinet,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,GS1_GPC,GS1 Global Product Classification,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip;Office_Supplies_Low_Cost_General_Data_Sources_GitHub_Import_v0_1.zip;Product_Identity_Barcode_Classification_Data_Sources_GitHub_Import_v0_1.zip;Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip;Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,official_global_product_classification,https://www.gs1.org/standards/gpc/access-gpc-standards,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public datasets; CSV/XML/API exports,direct_download_or_public_api,"Appliances and energy-related household products such as refrigerators, freezers, dishwashers, cooking products, clothes washers, dryers, room AC and dehumidifiers.",source,verified_product_performance_records,housewares_kitchen_appliances_clothing;product_identity_barcode_classification,download_bulk_file_or_call_public_api,1,show structured facts and source/vendor links; do not clone page layout,US/Canada reference,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,ENERGY_STAR_PRODUCT_FINDER,ENERGY STAR Product Finder datasets,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip;Product_Identity_Barcode_Classification_Data_Sources_GitHub_Import_v0_1.zip,certified_product_datasets,https://www.energystar.gov/productfinder/advanced,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public searchable registry,manual_review,Canadian code-compliance/evaluation evidence for building products and systems.,evidence,evidence,housing_construction_materials,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,CCMC_REGISTRY,Canadian Construction Materials Centre Registry,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,code_compliance_registry,https://nrc.canada.ca/en/certifications-evaluations-standards/canadian-construction-materials-centre/ccmc-publications/registry.html,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public product list,manual_review,Product efficiency certification and category validation.,evidence,certification,housing_construction_materials,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,ENERGY_STAR_CANADA,ENERGY STAR Canada Certified Products,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,certified_product_lists,https://natural-resources.canada.ca/energy-efficiency/energy-star/products/list-certified-products,vendor_name;source_url;retrieved_date;purchase_or_source_link
Already packaged,already_imported_reference,"Official goods/services classification for construction materials, tools and services.",classification,classification,housing_construction_materials,reuse_existing_import_and_crosswalk,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,ISED_NAPCS_CANADA_2022,NAPCS Canada 2022,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,official_classification,https://www.statcan.gc.ca/en/subjects/standard/napcs/2022/index,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public searchable list,manual_review,"Energy-performance comparisons for windows, doors, skylights and other products.",source,verified_product_list,housing_construction_materials,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,NRCAN_SPL,Natural Resources Canada Searchable Product List,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,energy_efficiency_product_list,https://spl-lpi.nrcan-rncan.gc.ca/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Business account / integration required,manual_review,PunchOut/eProcurement approach for enterprise/catalog integration.,source,procurement_access_path,office_supplies_low_cost_general,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,US/North America,Comparator-definitions/data-sources/office_supplies_low_cost_general/normalized/office_supplies_low_cost_general_source_catalog.json,STAPLES_ADVANTAGE_EPROCUREMENT,Staples Business Advantage eProcurement integrations,Office_Supplies_Low_Cost_General_Data_Sources_GitHub_Import_v0_1.zip,business_procurement_punchout,https://www.staplesadvantage.com/learn/eprocurement-integrations,vendor_name;source_url;retrieved_date;purchase_or_source_link
Business account/integration required,manual_review,Structured office-supply business catalog integration path using punchout/API/SSO style workflows.,offer_or_catalog,procurement_catalog_access_path,office_supplies_low_cost_general,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,North America,manual_addition,STAPLES_ADVANTAGE_PUNCHOUT,Staples Business Advantage eProcurement / PunchOut,added_in_aggressive_acquisition,business_procurement_catalog_integration,https://www.staplesadvantage.com/learn/eprocurement-integrations,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public website; store selection affects stock/pickup/delivery,public_site_catalog_parse,"Office supplies, paper, ink/toner, tech, furniture, school supplies, cleaning/breakroom and print services.",offer_or_catalog,current_public_offer_reference,office_supplies_low_cost_general,seed_category_urls_then_extract_jsonld_or_product_cards,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/office_supplies_low_cost_general/normalized/office_supplies_low_cost_general_source_catalog.json,STAPLES_CANADA_PUBLIC_SITE,Staples Canada public catalogue,Office_Supplies_Low_Cost_General_Data_Sources_GitHub_Import_v0_1.zip,retailer_public_site,https://www.staples.ca/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Business integration/account path,manual_review,"Automated shopping, purchase orders, invoicing and controlled business procurement.",source,procurement_access_path,office_supplies_low_cost_general,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/office_supplies_low_cost_general/normalized/office_supplies_low_cost_general_source_catalog.json,STAPLES_CA_EPROCUREMENT,Staples Canada e-Procurement integration,Office_Supplies_Low_Cost_General_Data_Sources_GitHub_Import_v0_1.zip,business_procurement_integration,https://www.staples.ca/a/content/e-procurement,vendor_name;source_url;retrieved_date;purchase_or_source_link
GS1 Canada membership/data-recipient access likely required,account_api_or_commercial_feed,"Canadian standardized listing data, product data and product images from ECCnet Registry.",offer_or_catalog,product_identity_content_api,product_identity_barcode_classification,request_api_key_account_or_feed_access,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/product_identity_barcode_classification/normalized/product_identity_source_catalog.json,GS1_CA_ECCNET_CONTENT_API,GS1 Canada ECCnet Content API,Product_Identity_Barcode_Classification_Data_Sources_GitHub_Import_v0_1.zip,canadian_product_registry_api,https://gs1ca.org/content-access/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public browser,manual_review,"Browse GPC segments, families, classes, bricks and attributes.",classification,classification_browser,product_identity_barcode_classification,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/product_identity_barcode_classification/normalized/product_identity_source_catalog.json,GS1_GPC_BROWSER,GS1 GPC Browser,Product_Identity_Barcode_Classification_Data_Sources_GitHub_Import_v0_1.zip,official_classification_browser,https://gpc-browser.gs1.org/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Open data/API/bulk downloads,direct_download_or_public_api,"Large open barcode database for food, snacks, beverages, ingredients, nutrition, allergens, packaging and images.",source,open_product_identity_records,product_identity_barcode_classification,download_bulk_file_or_call_public_api,1,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/product_identity_barcode_classification/normalized/product_identity_source_catalog.json,OPEN_FOOD_FACTS,Open Food Facts,Product_Identity_Barcode_Classification_Data_Sources_GitHub_Import_v0_1.zip,open_barcode_food_database,https://world.openfoodfacts.org/data,vendor_name;source_url;retrieved_date;purchase_or_source_link
Open API,manual_review,Barcode/product lookup and contribution API for food product facts.,offer_or_catalog,open_product_api,product_identity_barcode_classification,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/product_identity_barcode_classification/normalized/product_identity_source_catalog.json,OPEN_FOOD_FACTS_API,Open Food Facts API,Product_Identity_Barcode_Classification_Data_Sources_GitHub_Import_v0_1.zip,open_product_api,https://openfoodfacts.github.io/documentation/docs/Product-Opener/api/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Already packaged in project,already_imported_reference,Canadian product and service classification backbone.,classification,classification,product_identity_barcode_classification;furnishings_furniture;tools_fasteners_hardware_property_cabinet,reuse_existing_import_and_crosswalk,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/product_identity_barcode_classification/normalized/product_identity_source_catalog.json,NAPCS_CANADA_2022,NAPCS Canada 2022,Product_Identity_Barcode_Classification_Data_Sources_GitHub_Import_v0_1.zip;Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip;Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,official_canadian_product_classification,https://www.statcan.gc.ca/en/subjects/standard/napcs/2022/index,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public PDF catalog,pdf_or_catalog_parse,"Drawer slide models, capacity, extension, mounting, cabinet/furniture/industrial drawer-slide specs.",offer_or_catalog,manufacturer_spec_catalog,tools_fasteners_hardware_property_cabinet,download_pdf_or_catalog_pages_then_extract_tables,1,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,ACCURIDE_DRAWER_SLIDE_CATALOG,Accuride Drawer Slide Wood Catalog,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,drawer_slide_pdf_catalog,https://www.accuride.com/media/pdf/accuride-drawer-slide-wood-catalog-2018.pdf,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public online catalogue,manual_review,"Blum hinges, lift systems, box systems, runners, pocket systems, assembly devices, cabinet hardware technical data.",offer_or_catalog,manufacturer_spec_catalog,tools_fasteners_hardware_property_cabinet,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada/global,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,BLUM_CATALOGUE_2024_2025,Blum Catalogue and Technical Manual 2024/2025,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,cabinet_hardware_catalogue_manual,https://publications.blum.com/2024/catalogue/en/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public downloads/videos,manual_review,"Catalogues, technical manuals, product configurator and cabinet planning/download resources.",technical_spec,manufacturer_spec_reference,tools_fasteners_hardware_property_cabinet,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada/global,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,BLUM_DOWNLOADS,Blum downloads and videos,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,cabinet_hardware_downloads,https://www.blum.com/ca/en/downloads-videos/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Developer registration / access key required,account_api_or_commercial_feed,"Canadian Tire product/catalog/retail API path for tools, hardware, automotive, home/property goods.",offer_or_catalog,retailer_api_access_path,tools_fasteners_hardware_property_cabinet,request_api_key_account_or_feed_access,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,CANADIAN_TIRE_DEVELOPER,Canadian Tire Developer Program,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,retailer_api_developer_portal,https://developer.cantire.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public catalog page; account affects pricing/procurement,public_site_catalog_parse,"Fasteners, OEM/MRO/construction/industrial/safety products and technical catalog structure.",offer_or_catalog,industrial_catalog_reference,tools_fasteners_hardware_property_cabinet,seed_category_urls_then_extract_jsonld_or_product_cards,1,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,FASTENAL_CATALOGS,Fastenal catalogues,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,fastener_industrial_catalog,https://www.fastenal.com/fast/catalogs,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public PDF,pdf_or_catalog_parse,"Fastener grades, specifications, sizes, tensile values and technical reference facts.",evidence,technical_evidence_catalog,tools_fasteners_hardware_property_cabinet,download_pdf_or_catalog_pages_then_extract_tables,1,show structured facts and source/vendor links; do not clone page layout,US/Canada,manual_addition,FASTENAL_FASTENER_REFERENCE_GUIDE,Fastenal Fastener Reference Guide PDF,added_in_aggressive_acquisition,fastener_technical_reference_pdf,https://www.fastenal.com/content/merch_rules/images/fcom/content-library/Fastener%20Reference%20Guide.pdf,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public website; account may affect pricing/procurement,public_site_catalog_parse,Fastener category taxonomy and current product-offer entry point.,offer_or_catalog,current_public_offer_reference,tools_fasteners_hardware_property_cabinet,seed_category_urls_then_extract_jsonld_or_product_cards,1,show structured facts and source/vendor links; do not clone page layout,US/Canada,manual_addition,FASTENAL_PRODUCT_FASTENERS,Fastenal Fasteners Product Category,added_in_aggressive_acquisition,public_category_catalog,https://www.fastenal.com/product/Fasteners,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public catalog index; account may affect pricing,public_site_catalog_parse,Large MRO/industrial/tools/fasteners/hardware/safety/plumbing/electrical catalog structure.,offer_or_catalog,industrial_catalog_reference,tools_fasteners_hardware_property_cabinet,seed_category_urls_then_extract_jsonld_or_product_cards,1,show structured facts and source/vendor links; do not clone page layout,US/Canada reference,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,GRAINGER_CATALOG_INDEX,Grainger Catalog Index,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,industrial_supply_catalog_index,https://www.grainger.com/content/catalog-index,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public catalog index; account may affect pricing,public_site_catalog_parse,Large industrial/MRO product index; source advertises over 1.5 million products.,offer_or_catalog,industrial_catalog_reference,tools_fasteners_hardware_property_cabinet,seed_category_urls_then_extract_jsonld_or_product_cards,1,show structured facts and source/vendor links; do not clone page layout,US/Canada reference,manual_addition,GRAINGER_CATALOG_INDEX_CURRENT,Grainger Catalog Index,added_in_aggressive_acquisition,industrial_supply_catalog_index,https://www.grainger.com/content/catalog-index,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public product-category catalog,manual_review,"Cabinet pull/knob category rows, finishes, dimensions and product source links.",offer_or_catalog,current_public_offer_reference,tools_fasteners_hardware_property_cabinet,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada/US,manual_addition,RICHELIEU_CABINET_PULLS_KNOBS,Richelieu Cabinet Hardware - Pulls and Knobs,added_in_aggressive_acquisition,public_category_catalog,https://www.richelieu.com/ca/en/category/decorative-hardware/cabinet-hardware-pulls-and-knobs/1064512,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public catalog library,public_site_catalog_parse,"Decorative hardware, cabinet hardware, shop supplies, kitchen/cabinet/furniture hardware catalogs.",offer_or_catalog,manufacturer_distributor_catalog_reference,tools_fasteners_hardware_property_cabinet,seed_category_urls_then_extract_jsonld_or_product_cards,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,RICHELIEU_CATALOG_LIBRARY_CA,Richelieu Canada Catalog Library,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,cabinet_furniture_hardware_catalog_library,https://www.richelieu.com/ca/en/catalog,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public index,manual_review,"Cabinet hardware, hinges, glass hardware, sliding systems, organizers and product index taxonomy.",source,product_index_reference,tools_fasteners_hardware_property_cabinet,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada/US,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,RICHELIEU_PRODUCT_INDEX,Richelieu Product Index,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,cabinet_hardware_product_index,https://www.richelieu.com/us/en/index,vendor_name;source_url;retrieved_date;purchase_or_source_link
