conversion_mode,domain,expected_tables,notes,priority,recommended_path,scope,sector,sensitivity,source_group,source_type,status,title,uid,vendor,year
Fastener taxonomy and spec extraction,Aluminum Fasteners / Nuts / Washers / Screws / Technical Data,aluminum_fasteners; fastener_technical_data; aluminum_fastener_material_notes,Good for aluminum-compatible fastener comparison.,High,data-sources/catalog_conversions/fasteners/aluminum_fastener_supply/,Organizational,Business / Commercial; Market / Exchange,Normal,catalog,Fastener Catalog,Historical/current mixed,Aluminum Fastener Supply Product Catalog,SRC-0107,Aluminum Fastener Supply Co.,unknown
Product/application classification and safety notes,Grinding / Cutting / Dressing / Abrasives,grinding_wheels; abrasive_applications; wheel_shape_dictionary; safety_notes,Useful for material/tooling application matrix.,High,data-sources/catalog_conversions/abrasives_grinding/tyrolit_precision/,Organizational,Business / Commercial; Market / Exchange,Safety-critical rotating abrasive tools,catalog,Abrasives / Grinding Technical Catalog,Historical technical catalog,Tyrolit Specialised Precision Product Catalogue,SRC-0108,Tyrolit,2011
Technical catalog extraction,Clamping Systems / Collets / Drive Systems,clamping_systems; collets; drive_systems; application_notes,Useful for tooling/workholding classification.,High,data-sources/catalog_conversions/workholding_clamping/ortlieb_2011/,Organizational,Business / Commercial,Normal,catalog,Workholding / Clamping Catalog,Historical technical catalog,Ortlieb Clamping Systems Catalogue,SRC-0109,Ortlieb,2011-2012
Cross-reference table extraction,Hydraulic Hose / Fittings / Cross Reference,hose_fitting_cross_reference; manufacturer_equivalents,"Maps KNA to Dayco, Parker, Aeroquip, Gates.",High,data-sources/catalog_conversions/fluid_power/kna_hose_cross_reference/,Organizational,Business / Commercial; Market / Exchange,Safety-critical cross-reference,catalog,Hydraulic Hose/Fitting Cross Reference,Historical/current mixed,KNA Fluid Power hose/fitting cross-reference,SRC-0110,KNA Fluid Power,unknown
Technical catalog extraction,Vacuum Trucks / Pumps / Valves / Hoses / Manways / Hydraulics,vacuum_truck_components; pumps; valves; hoses; shutoffs; troubleshooting_notes,"Over 5,200 parts claimed in inventory; good system-component source.",High,data-sources/catalog_conversions/vacuum_water_truck/lm_industries/,Organizational,Business / Commercial; Infrastructure / Logistics,Safety-critical fluid/vacuum systems,catalog,Vacuum / Water Truck Parts Catalog,Historical/current mixed,LM Industries Product Catalogue & Technical Reference,SRC-0111,Leduc Mechanical Industries,unknown
Parts catalog extraction,Blowers / Transfer Cases / Water Pumps / Vane Pumps / Sludge Pumps,gapvax_parts; blower_models; pump_models; replacement_parts,Duplicate uploaded twice; keep one master.,High,data-sources/catalog_conversions/vacuum_water_truck/gapvax/,Organizational,Business / Commercial; Infrastructure / Logistics,Safety-critical vehicle/service equipment,catalog,Vacuum Truck Parts Catalog,Historical/current mixed,GapVax PartsExpress parts catalog,SRC-0112,GapVax,unknown
Model/spec extraction,Boats / Marine Vehicles / Options / Specs,marine_vehicle_models; boat_specs; options_packages,Finished-product comparison source.,Medium,data-sources/catalog_conversions/marine_vehicles/kingfisher_2019/,Personal; Organizational,Human / Consumer; Market / Exchange,Normal,catalog,Marine Vehicle Product Catalog,Historical model catalog,Kingfisher Welded Boat Guide,SRC-0113,Kingfisher,2019
Plant product extraction,Garden Plants / Roses / Scent / Ratings,rose_varieties; plant_ratings; rose_category_tree,Good for house/garden/property domain.,Medium,data-sources/catalog_conversions/garden_horticulture/harkness_roses_2015_2016/,Personal,Human / Consumer; Market / Exchange,Normal,catalog,Horticulture Product Catalog,Historical seasonal catalog,Harkness Rose Catalogue,SRC-0114,Harkness Roses,2015-2016
PPE taxonomy and selection-question extraction,Respirators / PAPR / Supplied Air / SCBA / Fit Testing,respirators; cartridges_filters; papr; supplied_air; scba; fit_test_kits; selection_questions,Do not turn into medical/safety advice without current standards verification.,High,data-sources/catalog_conversions/safety_ppe/respiratory_protection_north_honeywell/,Organizational,Business / Commercial; Human / Consumer; Public / Government,Safety-critical PPE,catalog,Safety PPE Catalog,Historical safety catalog,Respiratory Protection Catalog,SRC-0115,North by Honeywell,2010
Image/manual profile geometry extraction,Roll-formed Steel Profiles / Gauges / Section Geometry,rollformed_profile_shapes; gauge_dimension_records,Image-based; no text parsed.,Medium,data-sources/catalog_conversions/rollformed_profiles/crc_profile_catalog/,Organizational,Business / Commercial; Manufacturing,Normal,catalog,Roll-formed Profile Catalog,Historical profile reference,CRC Custom Rollforming profile catalog,SRC-0116,Custom Rollforming Corp.,unknown
Historical taxonomy and price extraction,Building Hardware / Locks / Knobs / Latches,historical_building_hardware; historical_prices; lock_knob_taxonomy,Not current product source; useful taxonomy/reference.,Low,data-sources/catalog_conversions/historical_building_hardware/jb_shannon_1883/,Historical,Market / Exchange; Historical Reference,Historical reference,catalog,Historical Building Hardware Catalog,Historical/obsolete,J.B. Shannon & Sons Illustrated Catalogue of Building Hardware No. 24,SRC-0117,J.B. Shannon & Sons,1883
PDF category and product extraction,Electronics / AV / Tools / Test Equipment,electronics_components; test_equipment; av_products; tools,Previously identified as direct catalog source with many products.,High,data-sources/catalog_conversions/electronics/mcm_2014/,Organizational; Personal,Business / Commercial; Market / Exchange,Normal,catalog,Electronics / Tools Catalog,Historical catalog,MCM Electronics 2014 Catalog,SRC-0118,MCM Electronics,2014
Product/spec extraction,Measuring Tools / Gages / Saws / Reference Tables,precision_tools; gages; saws; reference_tables,Good source for measuring and quality inspection categories.,High,data-sources/catalog_conversions/precision_tools/starrett_no_28/,Organizational,Business / Commercial,Normal,catalog,Precision Tool Catalog,Historical/current mixed,Starrett Precision Tools Catalog No. 28,SRC-0119,Starrett,unknown
Sectioned catalog extraction,Laboratory / Diagnostics / Glassware / Instruments / Safety,lab_products; lab_category_tree; instrument_specs; safety_supplies,Large lab/industrial source.,High,data-sources/catalog_conversions/lab_scientific/scientific_products_1991_92/,Organizational,Business / Commercial; Public / Government,Safety/lab critical,catalog,Lab / Scientific Product Catalog,Historical catalog,Scientific Products General Catalog 1991-92,SRC-0120,Scientific Products,1991-1992
Door hardware extraction,Door Hardware / Hinges / Pivots / Pulls / Bolts / Stops,door_hardware; finish_options; function_codes,Good brick source for doors and construction hardware.,High,data-sources/catalog_conversions/door_hardware/ives/,Organizational; Personal,Business / Commercial; Shelter / Housing,Normal,catalog,Architectural Hardware Catalog,Historical/current mixed,IVES Architectural Hardware Catalog,SRC-0121,IVES / Allegion,unknown
Door hardware extraction,Commercial Door Hardware / Locks / Exit Devices / Closers,locksets; exit_devices; door_closers; trims,Keep as product/spec reference; no security-bypass workflows.,High,data-sources/catalog_conversions/door_hardware/k2/,Organizational,Business / Commercial; Shelter / Housing,Security hardware; avoid bypass details,catalog,Door Hardware Catalog,Historical/current mixed,K2 Door Hardware Catalog,SRC-0122,K2,unknown
Outdoor/property product extraction,Pond Kits / Waterfalls / Pumps / Filtration / Lighting,water_feature_kits; pumps; filters; lighting; treatments,Property/garden system category.,Medium,data-sources/catalog_conversions/property_outdoor/aquascape/,Personal; Organizational,Human / Consumer; Market / Exchange,Normal,catalog,Outdoor Property Catalog,Historical/current mixed,Aquascape Water Features Catalog,SRC-0123,Aquascape,unknown
Automotive electrical product extraction,Wire / Cable / Terminals / Connectors / Circuit Protection,automotive_wire; connectors; terminals; relays; switches; trailer_wiring,Excellent wiring/electrical brick source.,High,data-sources/catalog_conversions/vehicle_electrical/waytek/,Organizational,Business / Commercial; Market / Exchange,Vehicle electrical safety,catalog,Automotive Electrical Catalog,Historical/current mixed,Waytek Automotive Electrical Supplies,SRC-0124,Waytek,unknown
Safe product extraction,Safes / Fire Safes / Depositories / Wall Safes,safes; fire_ratings; burglary_ratings; dimensions_weights,Avoid advice on defeating security.,Medium,data-sources/catalog_conversions/security_storage/gardall/,Personal; Organizational,Human / Consumer; Business / Commercial,Security product reference,catalog,Safe / Security Storage Catalog,Historical/current mixed,Gardall Safe Catalog,SRC-0125,Gardall,unknown
Taxonomy only; suppress key-code details,Locks / Keyed-Alike / Security Hardware,lock_family_taxonomy; compatibility_notes_public,Do not publish detailed keyed-alike code lists.,Low,data-sources/reference_sensitive/security_hardware/master_lock/,Organizational,Business / Commercial; Human / Consumer,Security-sensitive,catalog,Lock Reference,Reference; sensitive fields withheld,Master Lock keyed-alike / lock reference,SRC-0126,Master Lock,unknown
SKU/garment extraction,Apparel / Lingerie / Size / Color / Garment Type,apparel_products; sizes; colors; garment_types,Usable as apparel SKU structure source.,Low,data-sources/catalog_conversions/apparel/chamela/,Personal,Human / Consumer; Market / Exchange,Apparel normal,catalog,Apparel Catalog,Historical catalog,Chamela Lingerie Catalog,SRC-0127,Chamela,unknown
Taxonomy/glossary extraction,Footwear / Shoe Types / Leather / Retail Methods,shoe_type_dictionary; leather_terms; manufacturers; sizing_terms,Taxonomy more than product rows.,Medium,data-sources/reference_taxonomy/footwear_leather/,Personal; Organizational,Human / Consumer; Market / Exchange,Normal,catalog,Footwear / Leather Taxonomy Reference,Historical reference,Shoe and Leather Encyclopedia,SRC-0128,Reference,unknown
Reference index; source table locator; not full copyrighted table reproduction,Business / GDP / Industry / Prices / Establishments,table_index; economic_indicator_crosswalk; source_locator,Use to identify public source tables and model variables.,High,data-sources/statistical_reference/us_economic_demographic/business_statistics_2022/,National,Business / Commercial; Market / Exchange; Finance / Capital,Aggregate statistics,reference,Statistical Reference Book,Reference; data mostly public-source-derived,Business Statistics of the United States 2022,SRC-0200,Bernan Press,2022
"Table/source index, not full table copying",Population / Health / Education / Government / Labour / Business,stat_abstract_table_index; source_locator; comparator_domain_mapping,Treat as guide to source datasets.,High,data-sources/statistical_reference/us_statistical_abstract_2021/,National; State,Public / Government; Human / Consumer; Business / Commercial; Market / Exchange,Aggregate statistics,catalog,Statistical Abstract,Reference; public/private source locator,ProQuest Statistical Abstract of the United States 2021,SRC-0201,ProQuest / Rowman & Littlefield,2021
Table index and model-variable dictionary,Employment / Earnings / Productivity / Prices / Time Use,labor_table_index; labour_model_variables,Use public BLS originals where possible for current data.,Medium,data-sources/statistical_reference/us_labor_statistics_2006/,National,Human / Consumer; Business / Commercial; Market / Exchange,Aggregate statistics,reference,Labor Statistical Reference,Historical reference,Handbook of U.S. Labor Statistics,SRC-0202,Bernan Press,2006
Table index and education model variables,Education / Enrollment / Attainment / Schools,education_table_index; attainment_variables; school_metrics,Useful for education/labour connection.,Medium,data-sources/statistical_reference/us_education_2022/,National; State; County,Human / Consumer; Public / Government,Aggregate statistics,reference,Education Statistical Reference,Reference,The Almanac of American Education 2022,SRC-0203,Bernan Press,2022
State profile template mapping,State Economy / Population / Housing / Employment / Education,state_profile_metric_dictionary; state_profile_template,Good repeatable geography profile template.,Medium,data-sources/statistical_reference/us_state_profiles_2018/,State,Public / Government; Market / Exchange,Aggregate statistics,catalog,State Statistical Profile,Historical reference,State Profiles 2018,SRC-0204,Bernan Press,2018
Buyer category and household-segment extraction,Consumer Spending / Household Segments / Product Categories,buyer_categories; household_segments; purchase_incidence; spending_by_segment,"Use for demand-model seed, not current forecasting alone.",High,data-sources/consumer_demand/american_buyers_2008/,National,Human / Consumer; Market / Exchange; Business / Commercial,Aggregate statistics,catalog,Buyer Demand Reference,Historical buyer reference,American Buyers: Demographics of Shopping,SRC-0205,Consumer Expenditure reference,2008
Method dictionary and model-design notes,Applied Demography / Data Sources / Estimation / Projection,demographic_methods; data_source_types; projection_methods,Use for population segment modelling.,High,docs/reference_theory/demography/applied_demography/,National; Local,Human / Consumer; Public / Government,Aggregate demographic methods,reference,Method/Theory Book,Theory/reference,Applied Demography,SRC-0206,Routledge,1991/2018
Concept dictionary and demographic process model,Demography / Population / Fertility / Mortality / Migration,demography_concepts; population_processes; cohort_life_stage_model,Core theory source.,High,docs/reference_theory/demography/demography_study_human_population/,International; National,Human / Consumer; Public / Government,Aggregate demographic methods,reference,Method/Theory Book,Theory/reference,Demography: The Study of Human Population,SRC-0207,Waveland Press,2015
Business lifecycle model extraction,Business Birth / Growth / Mortality / Industry Density,business_lifecycle_concepts; industry_density_variables; firm_mortality_factors,Supports business simulator.,High,docs/business_simulation_theory/corporate_demography/,Organizational; Market,Business / Commercial,Normal,reference,Business Simulation Theory,Theory/reference,Corporate Demography / Demography of Corporations and Industries,SRC-0208,Reference,unknown
Agent-mechanism concept extraction,Buyer Agents / Auctions / Negotiation / Trust / Market Simulation,agent_roles; negotiation_protocols; auction_mechanisms; trust_reputation_models,Important for future buyer/seller agents.,High,docs/business_simulation_theory/agent_mediated_ecommerce/,International,Market / Exchange; Business / Commercial,Normal,reference,Agent Market Theory,Theory/reference,Agent-Mediated Electronic Commerce AMEC/TADA series,SRC-0209,Academic proceedings,2003-2014
Theory-note extraction,Enterprise Logistics / Supply Chain Fit / Extended Enterprise,supply_chain_fit_concepts; logistics_capabilities,Use for business simulator architecture.,Medium,docs/business_simulation_theory/supply_chain_fit/,Organizational; International,Business / Commercial; Infrastructure / Logistics,Normal,reference,Supply Chain Theory Paper,Theory/reference,Enterprise logistics and supply chain structure: the role of fit,SRC-0210,Journal of Operations Management / Elsevier,2000
Policy concept and comparison extraction,Women’s Equality / Pronatalism / Immigration / Childcare / Leave Policy,policy_components; demographic_policy_concepts; country_policy_comparison,Aggregate/policy modelling only.,Medium,docs/reference_theory/demography_social_policy/womens_equality_demography_policy/,National; International comparison,Public / Government; Human / Consumer,Sensitive aggregate policy,reference,Policy/Demography Reference,Historical theory/reference,"Women's Equality, Demography and Public Policies",SRC-0211,Palgrave Macmillan,1993
Concept/index extraction; aggregate only,Immigration / Ethnicity / Language / Fertility / Mortality / Migration,ethnic_demography_topics; aggregate_variables,No individual profiling/decisioning.,Medium,docs/reference_theory/demography_social_policy/ethnic_demography_canada/,National; Provincial,Human / Consumer; Public / Government,Sensitive aggregate demographic categories,reference,Canadian Demography Reference,Historical theory/reference,"Ethnic Demography: Canadian Immigrant, Racial and Cultural Variations",SRC-0212,Carleton University Press,1990
Profile index and variable dictionary,Race / Ethnicity / Social Class / Geography,demographic_profile_variables; chart_index,Aggregate-only demographic modelling.,Medium,data-sources/statistical_reference/demographic_profiles/americas_diverse_population/,National; County,Human / Consumer; Public / Government,Sensitive aggregate demographic categories,catalog,Demographic Profile Reference,Historical aggregate reference,America’s Diverse Population,SRC-0213,Bernan Press,2017
Activity taxonomy extraction,Games / Icebreakers / Indoor / Outdoor / Relays,activity_taxonomy; game_index; required_people_space_equipment,Useful for recreation/program design.,Low,data-sources/reference_taxonomy/recreation_games/group_activity_games/,Personal; Organizational,Human / Consumer,Normal,catalog,Recreation Activity Reference,Historical reference,Giant Book of Games,SRC-0214,Sterling Publishing,1956
No public buying workflow; taxonomy/reference only,Firearms / Historical Models / Serial Numbers / Pricing,firearms_model_taxonomy_restricted; collector_reference_index,"Do not build acquisition, sourcing, pricing, or recommendation flows.",Low,data-sources/reference_sensitive/firearms_collector_history/ruger/,Historical,Reference Sensitive,Regulated weapons,catalog,Firearms Collector Reference,Restricted reference only,Ruger firearms collector catalog,SRC-0300,Gun Digest Books,2014
Historical vehicle taxonomy only,Military Vehicles / Trucks / Tracked Vehicles / Trailers,military_vehicle_taxonomy; historical_vehicle_models,EPUB not fully indexed in current file results.,Medium,data-sources/reference_taxonomy/transportation/historical_military_vehicles/,Historical,Transportation Reference; Public / Government,Military/historical reference,catalog,Historical Military Vehicle Reference,Historical reference,U.S. Military Vehicles standard catalog,SRC-0301,Krause / reference,2003/2010
Kitchen cutlery product extraction,Kitchen Knives / Cutlery / Blade Materials,kitchen_cutlery; blade_materials; knife_types,Housewares cutlery okay; avoid weapon-use workflows.,Low,data-sources/catalog_conversions/housewares_kitchen_cutlery/kershaw_shun_2004/,Personal,Human / Consumer; Market / Exchange,Knife/cutlery; reference only where needed,catalog,Kitchen Cutlery Catalog,Historical catalog,Kershaw / Shun Knife Catalog,SRC-0302,Kershaw / KAI,2004
Restricted taxonomy/reference only,Sport / Work / Professional Knives / Tools,knife_tool_taxonomy_restricted; blade_steel_reference,No acquisition/deal-finding/carry guidance.,Low,data-sources/reference_sensitive/knives_tools/crkt_2009/,Historical,Reference Sensitive,Knives/weapons-adjacent,catalog,Knife/Tool Catalog,Restricted reference,CRKT Knife Catalog,SRC-0303,CRKT,2009
Restricted taxonomy/reference only,Folding Knives / Blade Steel / Edge Type,knife_model_reference_restricted,No acquisition/deal-finding/carry guidance.,Low,data-sources/reference_sensitive/knives_tools/byrd_spyderco_2006/,Historical,Reference Sensitive,Knives/weapons-adjacent,catalog,Knife Catalog,Restricted reference,Byrd / Spyderco Knife Catalog,SRC-0304,Byrd / Spyderco,2006
Reference taxonomy only,Swiss Army Knives / Multitools / Limited Editions,multitool_reference_restricted,Image-based; lower priority.,Low,data-sources/reference_sensitive/knives_tools/victorinox_2009/,Historical,Reference Sensitive,Knife/multitool,catalog,Knife/Multitool Catalog,Restricted reference,Victorinox New Products catalog,SRC-0305,Victorinox,2009
Reference taxonomy only; no sales workflow,Wine Regions / Vineyards / Vintages / Grapes,wine_region_taxonomy; grape_reference; vintage_reference_index,No alcohol retail recommendation workflow.,Low,data-sources/reference_taxonomy/regulated_alcohol/wine_regions_historical/,Historical; International,Reference Regulated,Alcohol regulated,catalog,Wine Region Reference,Regulated alcohol reference only,Great Wines of Europe,SRC-0306,G.P. Putnam's Sons,1965
API/scrape where permitted; affiliate/feed preferred,Housing / Construction Materials / Tools / Appliances,retailer_access_inventory; category_mapping,Acquire via feeds/APIs/public downloadable data where available.,High,data-sources/acquisition_targets/housing_construction_retailers/,National; Provincial,Human / Consumer; Market / Exchange,Normal,target,Online Acquisition Target,Access investigation,Home Depot / Lowe's / RONA / Home Hardware catalog access paths,SRC-0400,Retailers,current
Vendor catalog/API/feed/manual PDF conversion,Tools / Fasteners / Hardware / Cabinet Hardware / Slides,supplier_access_inventory; category_mapping,High value for property and hardware bricks.,Very High,data-sources/acquisition_targets/industrial_hardware_suppliers/,National; Organizational,Business / Commercial; Market / Exchange,Normal,target,Online Acquisition Target,Access investigation,Grainger / Fastenal / Gregg / Red Deer Bolt / Richelieu / Accuride / Blum,SRC-0401,Industrial Suppliers,current
Fitment database/API/licensed data likely required for full scale,Automotive Parts / Fitment / Maintenance,auto_parts_access_inventory; fitment_schema,Full fitment may require license/commercial access.,High,data-sources/acquisition_targets/auto_parts_fitment/,National,Human / Consumer; Market / Exchange,Normal,target,Online Acquisition Target,Access investigation,NAPA / RockAuto / auto parts fitment sources,SRC-0402,Auto Parts Retailers,current
Public web/API/feed where permitted,Electronics / Tools / Office Supplies / Low Cost General Goods,retailer_category_mapping; product_feed_inventory,Good broad consumer coverage.,Medium,data-sources/acquisition_targets/general_retailers/,National,Human / Consumer; Market / Exchange,Normal,target,Online Acquisition Target,Access investigation,Best Buy / Canadian Tire / Staples / Dollarama,SRC-0403,Retailers,current
Manufacturer PDF/API/download catalog acquisition,Building Modular Components,building_component_source_queue; spec_schema,Important modular construction/component layer.,High,data-sources/acquisition_targets/building_system_components/,National; Organizational,Shelter / Housing; Business / Commercial,Safety-critical where relevant,target,Online Acquisition Target,Access investigation,"Windows, doors, stairs, railings, garage doors, fire doors, HVAC, water heaters, electrical, ducting, lighting",SRC-0404,Building System Catalog Targets,current
NVD CPE plus retailer/manufacturer feeds,Computers / Phones / Shortwave / CB / Microwave / Radio,it_product_source_queue; communications_category_mapping,Combine product identity with regulatory/frequency notes.,Medium,data-sources/acquisition_targets/it_communications/,International; National,Information / Records; Market / Exchange,Some radio/frequency products may be regulated,target,Online Acquisition Target,Access investigation,"Computer, IT and communications product catalogs",SRC-0405,IT/Communications Suppliers,current
Manufacturer/retailer catalog acquisition,Furnishings / Seating / Home Goods,furnishing_source_queue; furniture_category_mapping,Useful for shelter/household domain.,Medium,data-sources/acquisition_targets/furnishings/,Personal; National,Human / Consumer; Market / Exchange,Normal,target,Online Acquisition Target,Access investigation,Furniture and furnishings catalogs including La-Z-Boy,SRC-0406,Furniture Suppliers,current
Normalized recall/product safety records mapped to the Human needs tree,Consumer products / medical products / food / vehicles / recalls,product_records; recall_evidence; need_mapping,"9,842 records selected from the 33,672-row snapshot included in Open_Product_Data_Sources_GitHub_Import_v0_1.zip.",High,data-sources/open-product-data/health_canada_recalls/,National,Human / Consumer; Public / Government,Safety-critical product evidence,official,Official Product Safety Data,Current snapshot with archived and active notices,Health Canada Recalls and Safety Alerts — normalized product subset,SRC-HC-RECALLS,Government of Canada / Health Canada and partner agencies,snapshot downloaded 2026-06-18
Structured historical catalog extraction,Electronics books / LED indicators / PCB hardware,historical_catalog_products; current_bridge,158 structured sample records from the existing Newark Catalog 112 package.,Medium,data-sources/catalog_conversions/electronics/newark/catalog_112_1992/,Organizational; Personal,Business / Commercial; Human / Consumer,Normal,catalog,Historical Electronics Catalog,Obsolete historical catalog records,Newark Electronics Catalog 112 (1992) structured sample records,SRC-NEWARK-112,Newark Electronics,1992
