acquisition_method,domain,expected_rows,job_id,next_action,notes,priority,source_id,source_name,status,target_record_type,url,vendor_positive_use
manual_review,furnishings_furniture,unknown,ACQ-0011,open_source_review_then_assign_connector_type,Open/transparent sustainability certification evidence for furniture products.,1,BIFMA_LEVEL,BIFMA LEVEL product search,not_started,evidence,https://level.bifma.org/,attribute_vendor_and_link_to_source
direct_download_or_public_api,furnishings_furniture,unknown,ACQ-0012,download_bulk_file_or_call_public_api,"Current furniture, storage, kitchen, bedroom, office and home decor product reference.",1,IKEA_PUBLIC_SITE,IKEA public product catalogue,not_started,offer_or_catalog,https://www.ikea.com/ca/en/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,housewares_kitchen_appliances_clothing,unknown,ACQ-0013,request_api_key_account_or_feed_access,"Products, stores, categories and attributes documentation for Best Buy API suite.",1,BEST_BUY_API_DOCS,Best Buy Developer API documentation,not_started,offer_or_catalog,https://bestbuyapis.github.io/api-documentation/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,housewares_kitchen_appliances_clothing,unknown,ACQ-0014,request_api_key_account_or_feed_access,"Large current/historical product catalog with pricing, availability, specifications, descriptions and images; strong for appliances and electronics.",1,BEST_BUY_PRODUCTS_API,Best Buy Products API,not_started,offer_or_catalog,https://developer.bestbuy.com/apis,attribute_vendor_and_link_to_source
direct_download_or_public_api,housewares_kitchen_appliances_clothing,unknown,ACQ-0015,download_bulk_file_or_call_public_api,"Certified electric cooking appliances; useful for stoves, ranges and cooktops where covered.",1,ENERGY_STAR_ELECTRIC_COOKING,ENERGY STAR Certified Residential Electric Cooking Products,not_started,source,https://catalog.data.gov/dataset/energy-star-certified-residential-electric-cooking-products,attribute_vendor_and_link_to_source
direct_download_or_public_api,housewares_kitchen_appliances_clothing,unknown,ACQ-0016,download_bulk_file_or_call_public_api,Model-level refrigerator/freezer product records and efficiency metrics.,1,ENERGY_STAR_RESIDENTIAL_REFRIGERATORS,ENERGY STAR Certified Residential Refrigerators,not_started,source,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Residential-Refrigerators/p5st-her9,attribute_vendor_and_link_to_source
manual_review,housewares_kitchen_appliances_clothing,unknown,ACQ-0017,open_source_review_then_assign_connector_type,Canadian ENERGY STAR product categories and consumer reference lists.,1,NRCAN_ENERGY_STAR_PRODUCTS,Natural Resources Canada ENERGY STAR certified products,not_started,source,https://natural-resources.canada.ca/energy-efficiency/energy-star/products/list-certified-products,attribute_vendor_and_link_to_source
manual_review,housewares_kitchen_appliances_clothing;office_supplies_low_cost_general;product_identity_barcode_classification;furnishings_furniture;tools_fasteners_hardware_property_cabinet,unknown,ACQ-0018,open_source_review_then_assign_connector_type,"Classification backbone for housewares, kitchenware, appliances, apparel, footwear and accessories.",1,GS1_GPC,GS1 Global Product Classification,not_started,classification,https://www.gs1.org/standards/gpc/access-gpc-standards,attribute_vendor_and_link_to_source
direct_download_or_public_api,housewares_kitchen_appliances_clothing;product_identity_barcode_classification,unknown,ACQ-0019,download_bulk_file_or_call_public_api,"Appliances and energy-related household products such as refrigerators, freezers, dishwashers, cooking products, clothes washers, dryers, room AC and dehumidifiers.",1,ENERGY_STAR_PRODUCT_FINDER,ENERGY STAR Product Finder datasets,not_started,source,https://www.energystar.gov/productfinder/advanced,attribute_vendor_and_link_to_source
manual_review,housing_construction_materials,unknown,ACQ-0020,open_source_review_then_assign_connector_type,Canadian code-compliance/evaluation evidence for building products and systems.,1,CCMC_REGISTRY,Canadian Construction Materials Centre Registry,not_started,evidence,https://nrc.canada.ca/en/certifications-evaluations-standards/canadian-construction-materials-centre/ccmc-publications/registry.html,attribute_vendor_and_link_to_source
manual_review,housing_construction_materials,unknown,ACQ-0021,open_source_review_then_assign_connector_type,Product efficiency certification and category validation.,1,ENERGY_STAR_CANADA,ENERGY STAR Canada Certified Products,not_started,evidence,https://natural-resources.canada.ca/energy-efficiency/energy-star/products/list-certified-products,attribute_vendor_and_link_to_source
already_imported_reference,housing_construction_materials,unknown,ACQ-0022,reuse_existing_import_and_crosswalk,"Official goods/services classification for construction materials, tools and services.",1,ISED_NAPCS_CANADA_2022,NAPCS Canada 2022,not_started,classification,https://www.statcan.gc.ca/en/subjects/standard/napcs/2022/index,attribute_vendor_and_link_to_source
manual_review,housing_construction_materials,unknown,ACQ-0023,open_source_review_then_assign_connector_type,"Energy-performance comparisons for windows, doors, skylights and other products.",1,NRCAN_SPL,Natural Resources Canada Searchable Product List,not_started,source,https://spl-lpi.nrcan-rncan.gc.ca/,attribute_vendor_and_link_to_source
manual_review,office_supplies_low_cost_general,unknown,ACQ-0024,open_source_review_then_assign_connector_type,PunchOut/eProcurement approach for enterprise/catalog integration.,1,STAPLES_ADVANTAGE_EPROCUREMENT,Staples Business Advantage eProcurement integrations,not_started,source,https://www.staplesadvantage.com/learn/eprocurement-integrations,attribute_vendor_and_link_to_source
manual_review,office_supplies_low_cost_general,unknown,ACQ-0025,open_source_review_then_assign_connector_type,Structured office-supply business catalog integration path using punchout/API/SSO style workflows.,1,STAPLES_ADVANTAGE_PUNCHOUT,Staples Business Advantage eProcurement / PunchOut,not_started,offer_or_catalog,https://www.staplesadvantage.com/learn/eprocurement-integrations,attribute_vendor_and_link_to_source
public_site_catalog_parse,office_supplies_low_cost_general,unknown,ACQ-0026,seed_category_urls_then_extract_jsonld_or_product_cards,"Office supplies, paper, ink/toner, tech, furniture, school supplies, cleaning/breakroom and print services.",1,STAPLES_CANADA_PUBLIC_SITE,Staples Canada public catalogue,not_started,offer_or_catalog,https://www.staples.ca/,attribute_vendor_and_link_to_source
manual_review,office_supplies_low_cost_general,unknown,ACQ-0027,open_source_review_then_assign_connector_type,"Automated shopping, purchase orders, invoicing and controlled business procurement.",1,STAPLES_CA_EPROCUREMENT,Staples Canada e-Procurement integration,not_started,source,https://www.staples.ca/a/content/e-procurement,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,product_identity_barcode_classification,unknown,ACQ-0028,request_api_key_account_or_feed_access,"Canadian standardized listing data, product data and product images from ECCnet Registry.",1,GS1_CA_ECCNET_CONTENT_API,GS1 Canada ECCnet Content API,not_started,offer_or_catalog,https://gs1ca.org/content-access/,attribute_vendor_and_link_to_source
manual_review,product_identity_barcode_classification,unknown,ACQ-0029,open_source_review_then_assign_connector_type,"Browse GPC segments, families, classes, bricks and attributes.",1,GS1_GPC_BROWSER,GS1 GPC Browser,not_started,classification,https://gpc-browser.gs1.org/,attribute_vendor_and_link_to_source
direct_download_or_public_api,product_identity_barcode_classification,unknown,ACQ-0030,download_bulk_file_or_call_public_api,"Large open barcode database for food, snacks, beverages, ingredients, nutrition, allergens, packaging and images.",1,OPEN_FOOD_FACTS,Open Food Facts,not_started,source,https://world.openfoodfacts.org/data,attribute_vendor_and_link_to_source
manual_review,product_identity_barcode_classification,unknown,ACQ-0031,open_source_review_then_assign_connector_type,Barcode/product lookup and contribution API for food product facts.,1,OPEN_FOOD_FACTS_API,Open Food Facts API,not_started,offer_or_catalog,https://openfoodfacts.github.io/documentation/docs/Product-Opener/api/,attribute_vendor_and_link_to_source
already_imported_reference,product_identity_barcode_classification;furnishings_furniture;tools_fasteners_hardware_property_cabinet,unknown,ACQ-0032,reuse_existing_import_and_crosswalk,Canadian product and service classification backbone.,1,NAPCS_CANADA_2022,NAPCS Canada 2022,not_started,classification,https://www.statcan.gc.ca/en/subjects/standard/napcs/2022/index,attribute_vendor_and_link_to_source
pdf_or_catalog_parse,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0033,download_pdf_or_catalog_pages_then_extract_tables,"Drawer slide models, capacity, extension, mounting, cabinet/furniture/industrial drawer-slide specs.",1,ACCURIDE_DRAWER_SLIDE_CATALOG,Accuride Drawer Slide Wood Catalog,not_started,offer_or_catalog,https://www.accuride.com/media/pdf/accuride-drawer-slide-wood-catalog-2018.pdf,attribute_vendor_and_link_to_source
manual_review,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0034,open_source_review_then_assign_connector_type,"Blum hinges, lift systems, box systems, runners, pocket systems, assembly devices, cabinet hardware technical data.",1,BLUM_CATALOGUE_2024_2025,Blum Catalogue and Technical Manual 2024/2025,not_started,offer_or_catalog,https://publications.blum.com/2024/catalogue/en/,attribute_vendor_and_link_to_source
manual_review,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0035,open_source_review_then_assign_connector_type,"Catalogues, technical manuals, product configurator and cabinet planning/download resources.",1,BLUM_DOWNLOADS,Blum downloads and videos,not_started,technical_spec,https://www.blum.com/ca/en/downloads-videos/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0036,request_api_key_account_or_feed_access,"Canadian Tire product/catalog/retail API path for tools, hardware, automotive, home/property goods.",1,CANADIAN_TIRE_DEVELOPER,Canadian Tire Developer Program,not_started,offer_or_catalog,https://developer.cantire.com/,attribute_vendor_and_link_to_source
public_site_catalog_parse,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0037,seed_category_urls_then_extract_jsonld_or_product_cards,"Fasteners, OEM/MRO/construction/industrial/safety products and technical catalog structure.",1,FASTENAL_CATALOGS,Fastenal catalogues,not_started,offer_or_catalog,https://www.fastenal.com/fast/catalogs,attribute_vendor_and_link_to_source
pdf_or_catalog_parse,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0038,download_pdf_or_catalog_pages_then_extract_tables,"Fastener grades, specifications, sizes, tensile values and technical reference facts.",1,FASTENAL_FASTENER_REFERENCE_GUIDE,Fastenal Fastener Reference Guide PDF,not_started,evidence,https://www.fastenal.com/content/merch_rules/images/fcom/content-library/Fastener%20Reference%20Guide.pdf,attribute_vendor_and_link_to_source
public_site_catalog_parse,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0039,seed_category_urls_then_extract_jsonld_or_product_cards,Fastener category taxonomy and current product-offer entry point.,1,FASTENAL_PRODUCT_FASTENERS,Fastenal Fasteners Product Category,not_started,offer_or_catalog,https://www.fastenal.com/product/Fasteners,attribute_vendor_and_link_to_source
public_site_catalog_parse,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0040,seed_category_urls_then_extract_jsonld_or_product_cards,Large MRO/industrial/tools/fasteners/hardware/safety/plumbing/electrical catalog structure.,1,GRAINGER_CATALOG_INDEX,Grainger Catalog Index,not_started,offer_or_catalog,https://www.grainger.com/content/catalog-index,attribute_vendor_and_link_to_source
public_site_catalog_parse,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0041,seed_category_urls_then_extract_jsonld_or_product_cards,Large industrial/MRO product index; source advertises over 1.5 million products.,1,GRAINGER_CATALOG_INDEX_CURRENT,Grainger Catalog Index,not_started,offer_or_catalog,https://www.grainger.com/content/catalog-index,attribute_vendor_and_link_to_source
manual_review,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0042,open_source_review_then_assign_connector_type,"Cabinet pull/knob category rows, finishes, dimensions and product source links.",1,RICHELIEU_CABINET_PULLS_KNOBS,Richelieu Cabinet Hardware - Pulls and Knobs,not_started,offer_or_catalog,https://www.richelieu.com/ca/en/category/decorative-hardware/cabinet-hardware-pulls-and-knobs/1064512,attribute_vendor_and_link_to_source
public_site_catalog_parse,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0043,seed_category_urls_then_extract_jsonld_or_product_cards,"Decorative hardware, cabinet hardware, shop supplies, kitchen/cabinet/furniture hardware catalogs.",1,RICHELIEU_CATALOG_LIBRARY_CA,Richelieu Canada Catalog Library,not_started,offer_or_catalog,https://www.richelieu.com/ca/en/catalog,attribute_vendor_and_link_to_source
manual_review,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0044,open_source_review_then_assign_connector_type,"Cabinet hardware, hinges, glass hardware, sliding systems, organizers and product index taxonomy.",1,RICHELIEU_PRODUCT_INDEX,Richelieu Product Index,not_started,source,https://www.richelieu.com/us/en/index,attribute_vendor_and_link_to_source
manual_review,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0045,open_source_review_then_assign_connector_type,"Procurement classification for tools, fasteners, hardware, building maintenance and property supplies.",1,UNSPSC,UNSPSC commodity classification,not_started,classification,https://www.unspsc.org/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,auto_parts_fitment,unknown,ACQ-0046,request_api_key_account_or_feed_access,"Professional repair-shop ordering, VIN scanning, in-stock parts and same-day delivery workflow.",2,NAPA_PROLINK,NAPA PROLink,not_started,offer_or_catalog,https://www.napaprolink.com/,attribute_vendor_and_link_to_source
public_site_catalog_parse,auto_parts_fitment,unknown,ACQ-0047,seed_category_urls_then_extract_jsonld_or_product_cards,"Current NAPA aftermarket parts catalog, categories, brand/part info and local availability.",2,NAPA_PUBLIC_CATALOG,NAPA Auto Parts public catalog,not_started,offer_or_catalog,https://www.napaonline.com/,attribute_vendor_and_link_to_source
direct_download_or_public_api,auto_parts_fitment,unknown,ACQ-0048,download_bulk_file_or_call_public_api,Vehicle/part safety evidence and recalls context.,2,NHTSA_RECALLS,NHTSA recalls API,not_started,evidence,https://www.nhtsa.gov/nhtsa-datasets-and-apis,attribute_vendor_and_link_to_source
public_site_catalog_parse,auto_parts_fitment,unknown,ACQ-0049,seed_category_urls_then_extract_jsonld_or_product_cards,Search by part number/manufacturer/part group/type; useful for part identity cross-checking.,2,ROCKAUTO_PART_SEARCH,RockAuto part number search,not_started,source,https://www.rockauto.com/en/partsearch/,attribute_vendor_and_link_to_source
direct_download_or_public_api,auto_parts_fitment,unknown,ACQ-0050,download_bulk_file_or_call_public_api,Very broad year/make/model/engine public parts reference and current retail offers.,2,ROCKAUTO_PUBLIC_CATALOG,RockAuto public parts catalog,not_started,offer_or_catalog,https://www.rockauto.com/en/catalog/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,auto_parts_fitment,unknown,ACQ-0051,request_api_key_account_or_feed_access,"ACES/PIES catalog creation, mapping, updating, e-commerce and fitment lookup platform.",2,SHOWMETHEPARTS,ShowMeTheParts,not_started,offer_or_catalog,https://info.showmetheparts.com/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,auto_parts_fitment,unknown,ACQ-0052,request_api_key_account_or_feed_access,"Year/make/model, VIN, license-plate and detailed part-fitment searches where available.",2,SHOWMETHEPARTS_API,ShowMeTheParts API,not_started,offer_or_catalog,https://info.showmetheparts.com/utilize-showmetheparts-api-for-detailed-searches-beyond-year-make-model/,attribute_vendor_and_link_to_source
manual_review,auto_parts_fitment,unknown,ACQ-0053,open_source_review_then_assign_connector_type,"Canadian recall/safety evidence for vehicles, tires and child seats.",2,TRANSPORT_CANADA_RECALLS,Transport Canada vehicle recalls,not_started,evidence,https://tc.canada.ca/en/road-transportation/defects-recalls-vehicles-tires-child-car-seats,attribute_vendor_and_link_to_source
manual_review,computer_it_communications,unknown,ACQ-0054,open_source_review_then_assign_connector_type,"Wireless/RF device certification evidence, photos, filings and authorization records.",2,FCC_EQUIPMENT_AUTHORIZATION,FCC Equipment Authorization Search,not_started,evidence,https://www.fcc.gov/oet/ea/fccid,attribute_vendor_and_link_to_source
direct_download_or_public_api,computer_it_communications,unknown,ACQ-0055,download_bulk_file_or_call_public_api,Manufacturer/grantee lookup for FCC IDs and device evidence linkage.,2,FCC_GRANTEE_REGISTRATIONS,FCC EAS Equipment Authorization Grantee Registrations,not_started,source,https://catalog.data.gov/dataset/eas-equipment-authorization-grantee-registrations,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,computer_it_communications,unknown,ACQ-0056,request_api_key_account_or_feed_access,Search products by SKU or criteria; find price and availability for SKUs.,2,INGRAM_MICRO_CATALOG_API,Ingram Micro Product Catalog API,not_started,offer_or_catalog,https://developer.ingrammicro.com/reseller/api-documentation/United_States,attribute_vendor_and_link_to_source
manual_review,computer_it_communications,unknown,ACQ-0057,open_source_review_then_assign_connector_type,Detailed specs and comparisons for Lenovo PCs and accessories.,2,LENOVO_PSREF,Lenovo PSREF Product Specifications Reference,not_started,technical_spec,https://psref.lenovo.com/,attribute_vendor_and_link_to_source
manual_review,computer_it_communications,unknown,ACQ-0058,open_source_review_then_assign_connector_type,Support and servicing timelines for Microsoft commercial products and services.,2,MICROSOFT_PRODUCT_LIFECYCLE,Microsoft Product Lifecycle Search,not_started,evidence,https://learn.microsoft.com/en-us/lifecycle/products/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,computer_it_communications,unknown,ACQ-0059,request_api_key_account_or_feed_access,"Product APIs for product details, features, capabilities, pricing and more.",2,TD_SYNNEX_ION_API,TD SYNNEX StreamOne Ion Catalog API,not_started,offer_or_catalog,https://www.tdsynnex.com/ion/v3api/,attribute_vendor_and_link_to_source
manual_review,furnishings_furniture,unknown,ACQ-0060,open_source_review_then_assign_connector_type,"Commercial furnishings, fixtures, cabinets, architectural interiors, furniture systems and specification catalogues.",2,ARCAT_FURNITURE_CATALOGS,ARCAT building/furnishings product catalogs,not_started,offer_or_catalog,https://www.arcat.com/content-type/catalog,attribute_vendor_and_link_to_source
manual_review,furnishings_furniture,unknown,ACQ-0061,open_source_review_then_assign_connector_type,"Office/institutional furniture standards context, safety, durability and sustainability evidence.",2,BIFMA_HOME,BIFMA standards and association,not_started,source,https://www.bifma.org/,attribute_vendor_and_link_to_source
manual_review,furnishings_furniture,unknown,ACQ-0062,open_source_review_then_assign_connector_type,Investigate IKEA search/product endpoints for controlled lookup experiments.,2,IKEA_API_CLIENT_GITHUB,Community IKEA API client,not_started,offer_or_catalog,https://github.com/vrslev/ikea-api-client,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,furnishings_furniture,unknown,ACQ-0063,request_api_key_account_or_feed_access,"Real-time authorization-aware furniture, mattress and appliance product data across many brands.",2,SKULYTICS_FURNITURE,Skulytics furniture/mattress/appliance product data API,not_started,offer_or_catalog,https://skulytics.io/,attribute_vendor_and_link_to_source
manual_review,furnishings_furniture,unknown,ACQ-0064,open_source_review_then_assign_connector_type,"Commercial furniture, casework, interior specialties, fixtures and manufacturer specification pages.",2,SWEETS_FURNISHINGS,Sweets construction/furnishings product directory,not_started,offer_or_catalog,https://sweets.construction.com/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,furnishings_furniture,unknown,ACQ-0065,request_api_key_account_or_feed_access,Wayfair catalog/product/3D API research path.,2,WAYFAIR_DEVELOPER,Wayfair Developer,not_started,source,https://developer.wayfair.io/posts/introduction,attribute_vendor_and_link_to_source
direct_download_or_public_api,housewares_kitchen_appliances_clothing,unknown,ACQ-0066,download_bulk_file_or_call_public_api,Bulk download tooling and documentation repository for Best Buy catalog API.,2,BEST_BUY_BULK_CLI,Best Buy API CLI / bulk download tooling,not_started,offer_or_catalog,https://github.com/bestbuyapis,attribute_vendor_and_link_to_source
manual_review,housewares_kitchen_appliances_clothing,unknown,ACQ-0067,open_source_review_then_assign_connector_type,Fashion product images and metadata mirrored on Hugging Face; useful for offline classification tests.,2,HUGGINGFACE_FASHION_PRODUCT_IMAGES_SMALL,Hugging Face Fashion Product Images Small,not_started,offer_or_catalog,https://huggingface.co/datasets/ashraq/fashion-product-images-small,attribute_vendor_and_link_to_source
manual_review,housewares_kitchen_appliances_clothing,unknown,ACQ-0068,open_source_review_then_assign_connector_type,"Larger clothing/accessory/fashion product dataset with category labels, descriptions and images.",2,PARAM_AGGARWAL_FASHION_FULL,Fashion Product Images Dataset,not_started,offer_or_catalog,https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-dataset,attribute_vendor_and_link_to_source
manual_review,housewares_kitchen_appliances_clothing,unknown,ACQ-0069,open_source_review_then_assign_connector_type,"Fashion catalogue image/spec dataset using styles.csv with product IDs, categories and images.",2,PARAM_AGGARWAL_FASHION_SMALL,Fashion Product Images Small,not_started,offer_or_catalog,https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,housewares_kitchen_appliances_clothing;office_supplies_low_cost_general;furnishings_furniture,unknown,ACQ-0070,request_api_key_account_or_feed_access,"Canadian product listing data, images and product-content access via ECCnet Content API.",2,GS1_CA_ECCNET,GS1 Canada ECCnet Registry / Content API,not_started,offer_or_catalog,https://gs1ca.org/content-access/,attribute_vendor_and_link_to_source
manual_review,housing_construction_materials,unknown,ACQ-0071,open_source_review_then_assign_connector_type,"Manufacturer catalogs, specs, CAD/BIM details and construction product categories.",2,ARCAT_CATALOGS,ARCAT Building Product Catalogs,not_started,offer_or_catalog,https://www.arcat.com/content-type/catalog,attribute_vendor_and_link_to_source
pdf_or_catalog_parse,housing_construction_materials,unknown,ACQ-0072,download_pdf_or_catalog_pages_then_extract_tables,"Canadian supplier/product program rules, made-in-Canada fields and quality expectations.",2,HOME_HARDWARE_SUPPLIER_GUIDE,Home Hardware Supplier Guide,not_started,offer_or_catalog,https://homehardware.sirv.com/supplier-guide/HHSL%20Supplier%20Guide%20Version%203.1.pdf,attribute_vendor_and_link_to_source
manual_review,housing_construction_materials,unknown,ACQ-0073,open_source_review_then_assign_connector_type,Evaluation evidence for code officials and approved building products.,2,ICC_ES_REPORTS,ICC-ES Reports Directory,not_started,evidence,https://icc-es.org/reports-directory/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,housing_construction_materials,unknown,ACQ-0074,request_api_key_account_or_feed_access,Developer/API access for Lowe's product and operations APIs.,2,LOWES_API_PORTAL,Lowe's API Portal,not_started,source,https://portal.apim.lowes.com/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,housing_construction_materials,unknown,ACQ-0075,request_api_key_account_or_feed_access,"Current products, prices, promotions, inventory and localized product info.",2,LOWES_PRODUCT_CATALOG_API,Lowe's Product Catalog API,not_started,offer_or_catalog,https://developer.lowes.com/portal/business-components/Product%20Catalog/,attribute_vendor_and_link_to_source
pdf_or_catalog_parse,housing_construction_materials,unknown,ACQ-0076,download_pdf_or_catalog_pages_then_extract_tables,RONA product onboarding workflow and advanced catalog expectations.,2,RONA_DROPSHIP_GUIDE,RONA Dropship Operational Guide,not_started,offer_or_catalog,https://vendors.rona.ca/media/unnlaaso/rona-dropship-operational-guide.pdf,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,housing_construction_materials,unknown,ACQ-0077,request_api_key_account_or_feed_access,"RONA product-content fields, photo rules, dropship vendor expectations and onboarding data requirements.",2,RONA_SUPPLIER_DOCUMENTATION,RONA Product Supplier Documentation,not_started,source,https://vendors.rona.ca/product-supplier/documentation,attribute_vendor_and_link_to_source
manual_review,housing_construction_materials,unknown,ACQ-0078,open_source_review_then_assign_connector_type,"Manufacturer product pages, CAD details, BIM objects, specs and green product info.",2,SWEETS,Sweets Construction Product Directory,not_started,offer_or_catalog,https://sweets.construction.com/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,housing_construction_materials,unknown,ACQ-0079,request_api_key_account_or_feed_access,UL-certified product evidence and safety/compliance lookups.,2,UL_PRODUCT_IQ,UL Product iQ,not_started,evidence,https://productiq.ulprospector.com/,attribute_vendor_and_link_to_source
manual_review,office_supplies_low_cost_general,unknown,ACQ-0080,open_source_review_then_assign_connector_type,Current local Dollarama delivery catalogue rows where available.,2,DOLLARAMA_INSTACART,Dollarama on Instacart Canada,not_started,offer_or_catalog,https://www.instacart.ca/store/dollarama/storefront,attribute_vendor_and_link_to_source
public_site_catalog_parse,office_supplies_low_cost_general,unknown,ACQ-0081,seed_category_urls_then_extract_jsonld_or_product_cards,"Low-cost general merchandise, seasonal items, household goods, party, craft, food/snacks, cleaning and small office supplies.",2,DOLLARAMA_PUBLIC_SITE,Dollarama public website,not_started,offer_or_catalog,https://www.dollarama.com/en-ca/,attribute_vendor_and_link_to_source
manual_review,office_supplies_low_cost_general,unknown,ACQ-0082,open_source_review_then_assign_connector_type,"Business office supplies, procurement controls and product catalogue access.",2,STAPLES_ADVANTAGE,Staples Business Advantage / Staples Business,not_started,offer_or_catalog,https://www.staplesadvantage.com/,attribute_vendor_and_link_to_source
manual_review,product_identity_barcode_classification,unknown,ACQ-0083,open_source_review_then_assign_connector_type,High-quality bilingual standardized product images for retail and online use.,2,GS1_CA_MARKETING_CONTENT,GS1 Canada ECCnet Marketing Content,not_started,evidence,https://gs1ca.org/marketing-content/,attribute_vendor_and_link_to_source
