job_id,method,notes,priority,source_id,source_name,status,target_record_type,url
BLDG-ACQ-0028,pdf_catalog_download_parse,Square D QO residential loadcentres and related product docs/selectors.,2,SCHNEIDER_SQUARE_D_CA_QO,Schneider Electric Canada QO Load Centers,not_started,manufacturer_catalog_spec_reference,https://www.se.com/ca/en/product-range/7249-qo-load-centers/
BLDG-ACQ-0029,pdf_catalog_download_parse,"Residential load centers, breakers, receptacles and branch circuit product data.",2,SQUARE_D_RESIDENTIAL_CATALOG_PDF,Square D residential catalog PDF,not_started,manufacturer_catalog_spec_reference,https://cedhouston.com/wp-content/uploads/Square-D-Residential-Catalog.pdf
BLDG-ACQ-0030,pdf_catalog_download_parse,"Wiring devices, switches, receptacles and product families.",2,EATON_WIRING_DEVICES_PDF,Eaton wiring devices PDF,not_started,manufacturer_catalog_spec_reference,https://www.eaton.com/content/dam/eaton/products/wiring-devices-and-connectivity/wiring-devices/switches/standard-grade-switches/rbg-b-sec.pdf
BLDG-ACQ-0031,pdf_catalog_download_parse,"Switches, dimmers, outlets, lighting controls, network solutions and wiring devices.",2,LEVITON_PRODUCTS,Leviton products,not_started,manufacturer_catalog_spec_reference,https://leviton.com/products
BLDG-ACQ-0032,pdf_catalog_download_parse,"Industrial plugs/connectors, flanged inlets/outlets and rugged wiring devices.",2,LEVITON_INDUSTRIAL_WIRING_DEVICES_CATALOG,Leviton industrial wiring devices catalog,not_started,manufacturer_catalog_spec_reference,https://leviton.com/content/dam/leviton/commercial-industrial/product_documents/brochure/Industrial%20Wiring%20Devices%20Catalog.pdf
BLDG-ACQ-0033,pdf_catalog_download_parse,"Electrical enclosures, junction boxes, NEMA ratings and enclosure dimensions.",2,EATON_BLINE_ENCLOSURES,Eaton B-Line electrical enclosure catalog,not_started,manufacturer_catalog_spec_reference,https://www.eaton.com/content/dam/eaton/products/enclosures/b-line/assets/electrical-enclosure-catalog-ca304001en.pdf
BLDG-ACQ-0034,pdf_catalog_download_parse,"PVC/electrical enclosures, junction boxes, NEMA/CSA ratings, sizes and applications.",2,ABB_TNB_ENCLOSURES,ABB / Thomas & Betts enclosures and junction boxes catalog,not_started,manufacturer_catalog_spec_reference,https://tnb.ca.abb.com/en/pdf-catalogues/boxes-and-covers-meter-sockets/enclosures/E-Enclosures-E.pdf
BLDG-ACQ-0035,registry_search_or_api,"Appliances, windows/doors/skylights, HVAC, water heaters, lighting and certified products.",1,ENERGY_STAR_PRODUCT_FINDER,ENERGY STAR Product Finder datasets,not_started,evidence_performance_registry,https://www.energystar.gov/productfinder/advanced
BLDG-ACQ-0036,public_page_parse,Full verified LED lighting and networked lighting controls data if paid/API access is obtained.,2,DLC_QPL_DATA_ACCESS,DLC QPL data access,not_started,account_api_or_data_feed,https://designlights.org/qpl/
BLDG-ACQ-0037,pdf_catalog_download_parse,"Manufacturer catalogs, specs, CAD/BIM details across building systems.",2,ARCAT_BUILDING_PRODUCTS,ARCAT building product catalogs,not_started,catalog_spec_directory,https://www.arcat.com/content-type/catalog
BLDG-ACQ-0038,pdf_catalog_download_parse,"Manufacturer product pages, CAD details, BIM objects and specs.",2,SWEETS_CONSTRUCTION,Sweets construction product directory,not_started,catalog_spec_directory,https://sweets.construction.com/
BLDG-ACQ-0039,public_page_parse,"BIM/3D/spec product reference for doors, windows, HVAC, stairs, railings and lighting.",3,BIMOBJECT_BUILDING_PRODUCTS,BIMobject building product objects,not_started,bim_spec_reference,https://www.bimobject.com/en-ca
