phase,source_uid,title,priority,domain,conversion_mode,target_folder,first_output,status,notes
Run 02,SRC-0004,Statistics Canada cube downloads,High,Population / Labour / Education / CPI / Demographics,StatCan Cube Importer v0.1,data-sources/statcan_cubes/,source_inventory,queued,Initial sample import succeeded; latest-PID refresh is next.
Run 02,SRC-0005,GS1 GPC Browser and barcode/product identity references,High,Barcodes / GPC Bricks / Product Identity,Crosswalk/product identity reference,data-sources/product_identity/gs1_gpc/,gpc_segments,queued,Use brick terminology for product-level datagrid refinement.
Run 02,SRC-0007,ENERGY STAR product datasets,High,Appliances / HVAC / Energy,Downloadable CSV/product dataset,data-sources/energy_appliances/energy_star/,certified_products,queued,High value for appliance and building-system comparison.
Run 02,SRC-0008,NHTSA vehicle datasets,High,Vehicles / Safety / VIN,API/CSV vehicle reference,data-sources/transportation/nhtsa/,vehicle_make_model,queued,Use to refresh vehicle taxonomy and current safety info.
Run 02,SRC-0106,"GPH / Nexans mechanical connectors, cable lugs and clamps",High,Power Cable Connectors / Cable Lugs / Overhead Clamps,Technical catalog extraction with standards fields,data-sources/catalog_conversions/electrical_power/gph_nexans/,mechanical_connectors,queued,Flag voltage ranges and VDE/IEC references; not consumer DIY guidance.
Run 02,SRC-0107,Aluminum Fastener Supply Product Catalog,High,Aluminum Fasteners / Nuts / Washers / Screws / Technical Data,Fastener taxonomy and spec extraction,data-sources/catalog_conversions/fasteners/aluminum_fastener_supply/,aluminum_fasteners,queued,Good for aluminum-compatible fastener comparison.
Run 02,SRC-0108,Tyrolit Specialised Precision Product Catalogue,High,Grinding / Cutting / Dressing / Abrasives,Product/application classification and safety notes,data-sources/catalog_conversions/abrasives_grinding/tyrolit_precision/,grinding_wheels,queued,Useful for material/tooling application matrix.
Run 02,SRC-0109,Ortlieb Clamping Systems Catalogue,High,Clamping Systems / Collets / Drive Systems,Technical catalog extraction,data-sources/catalog_conversions/workholding_clamping/ortlieb_2011/,clamping_systems,queued,Useful for tooling/workholding classification.
Run 02,SRC-0110,KNA Fluid Power hose/fitting cross-reference,High,Hydraulic Hose / Fittings / Cross Reference,Cross-reference table extraction,data-sources/catalog_conversions/fluid_power/kna_hose_cross_reference/,hose_fitting_cross_reference,queued,"Maps KNA to Dayco, Parker, Aeroquip, Gates."
Run 02,SRC-0111,LM Industries Product Catalogue & Technical Reference,High,Vacuum Trucks / Pumps / Valves / Hoses / Manways / Hydraulics,Technical catalog extraction,data-sources/catalog_conversions/vacuum_water_truck/lm_industries/,vacuum_truck_components,queued,"Over 5,200 parts claimed in inventory; good system-component source."
Run 02,SRC-0112,GapVax PartsExpress parts catalog,High,Blowers / Transfer Cases / Water Pumps / Vane Pumps / Sludge Pumps,Parts catalog extraction,data-sources/catalog_conversions/vacuum_water_truck/gapvax/,gapvax_parts,queued,Duplicate uploaded twice; keep one master.
Run 02,SRC-0115,Respiratory Protection Catalog,High,Respirators / PAPR / Supplied Air / SCBA / Fit Testing,PPE taxonomy and selection-question extraction,data-sources/catalog_conversions/safety_ppe/respiratory_protection_north_honeywell/,respirators,queued,Do not turn into medical/safety advice without current standards verification.
Run 02,SRC-0118,MCM Electronics 2014 Catalog,High,Electronics / AV / Tools / Test Equipment,PDF category and product extraction,data-sources/catalog_conversions/electronics/mcm_2014/,electronics_components,queued,Previously identified as direct catalog source with many products.
Run 02,SRC-0119,Starrett Precision Tools Catalog No. 28,High,Measuring Tools / Gages / Saws / Reference Tables,Product/spec extraction,data-sources/catalog_conversions/precision_tools/starrett_no_28/,precision_tools,queued,Good source for measuring and quality inspection categories.
Run 02,SRC-0120,Scientific Products General Catalog 1991-92,High,Laboratory / Diagnostics / Glassware / Instruments / Safety,Sectioned catalog extraction,data-sources/catalog_conversions/lab_scientific/scientific_products_1991_92/,lab_products,queued,Large lab/industrial source.
Run 02,SRC-0121,IVES Architectural Hardware Catalog,High,Door Hardware / Hinges / Pivots / Pulls / Bolts / Stops,Door hardware extraction,data-sources/catalog_conversions/door_hardware/ives/,door_hardware,queued,Good brick source for doors and construction hardware.
Run 02,SRC-0122,K2 Door Hardware Catalog,High,Commercial Door Hardware / Locks / Exit Devices / Closers,Door hardware extraction,data-sources/catalog_conversions/door_hardware/k2/,locksets,queued,Keep as product/spec reference; no security-bypass workflows.
Run 02,SRC-0124,Waytek Automotive Electrical Supplies,High,Wire / Cable / Terminals / Connectors / Circuit Protection,Automotive electrical product extraction,data-sources/catalog_conversions/vehicle_electrical/waytek/,automotive_wire,queued,Excellent wiring/electrical brick source.
Run 02,SRC-0200,Business Statistics of the United States 2022,High,Business / GDP / Industry / Prices / Establishments,Reference index; source table locator; not full copyrighted table reproduction,data-sources/statistical_reference/us_economic_demographic/business_statistics_2022/,table_index,queued,Use to identify public source tables and model variables.
Run 02,SRC-0201,ProQuest Statistical Abstract of the United States 2021,High,Population / Health / Education / Government / Labour / Business,"Table/source index, not full table copying",data-sources/statistical_reference/us_statistical_abstract_2021/,stat_abstract_table_index,queued,Treat as guide to source datasets.
Run 02,SRC-0205,American Buyers: Demographics of Shopping,High,Consumer Spending / Household Segments / Product Categories,Buyer category and household-segment extraction,data-sources/consumer_demand/american_buyers_2008/,buyer_categories,queued,"Use for demand-model seed, not current forecasting alone."
Run 02,SRC-0206,Applied Demography,High,Applied Demography / Data Sources / Estimation / Projection,Method dictionary and model-design notes,docs/reference_theory/demography/applied_demography/,demographic_methods,queued,Use for population segment modelling.
Run 02,SRC-0207,Demography: The Study of Human Population,High,Demography / Population / Fertility / Mortality / Migration,Concept dictionary and demographic process model,docs/reference_theory/demography/demography_study_human_population/,demography_concepts,queued,Core theory source.
Run 02,SRC-0208,Corporate Demography / Demography of Corporations and Industries,High,Business Birth / Growth / Mortality / Industry Density,Business lifecycle model extraction,docs/business_simulation_theory/corporate_demography/,business_lifecycle_concepts,queued,Supports business simulator.
Run 02,SRC-0209,Agent-Mediated Electronic Commerce AMEC/TADA series,High,Buyer Agents / Auctions / Negotiation / Trust / Market Simulation,Agent-mechanism concept extraction,docs/business_simulation_theory/agent_mediated_ecommerce/,agent_roles,queued,Important for future buyer/seller agents.
Run 02,SRC-0400,Home Depot / Lowe's / RONA / Home Hardware catalog access paths,High,Housing / Construction Materials / Tools / Appliances,API/scrape where permitted; affiliate/feed preferred,data-sources/acquisition_targets/housing_construction_retailers/,retailer_access_inventory,queued,Acquire via feeds/APIs/public downloadable data where available.
Run 02,SRC-0402,NAPA / RockAuto / auto parts fitment sources,High,Automotive Parts / Fitment / Maintenance,Fitment database/API/licensed data likely required for full scale,data-sources/acquisition_targets/auto_parts_fitment/,auto_parts_access_inventory,queued,Full fitment may require license/commercial access.
Run 02,SRC-0404,"Windows, doors, stairs, railings, garage doors, fire doors, HVAC, water heaters, electrical, ducting, lighting",High,Building Modular Components,Manufacturer PDF/API/download catalog acquisition,data-sources/acquisition_targets/building_system_components/,building_component_source_queue,queued,Important modular construction/component layer.
Run 03,SRC-0006,NVD CPE,Medium,Computer / IT product identity,CPE dictionary import,data-sources/it_products/nvd_cpe/,software_hardware_cpe,queued,"Useful for IT/software product identity, not retail SKU pricing."
Run 03,SRC-0113,Kingfisher Welded Boat Guide,Medium,Boats / Marine Vehicles / Options / Specs,Model/spec extraction,data-sources/catalog_conversions/marine_vehicles/kingfisher_2019/,marine_vehicle_models,queued,Finished-product comparison source.
Run 03,SRC-0114,Harkness Rose Catalogue,Medium,Garden Plants / Roses / Scent / Ratings,Plant product extraction,data-sources/catalog_conversions/garden_horticulture/harkness_roses_2015_2016/,rose_varieties,queued,Good for house/garden/property domain.
Run 03,SRC-0116,CRC Custom Rollforming profile catalog,Medium,Roll-formed Steel Profiles / Gauges / Section Geometry,Image/manual profile geometry extraction,data-sources/catalog_conversions/rollformed_profiles/crc_profile_catalog/,rollformed_profile_shapes,queued,Image-based; no text parsed.
Run 03,SRC-0123,Aquascape Water Features Catalog,Medium,Pond Kits / Waterfalls / Pumps / Filtration / Lighting,Outdoor/property product extraction,data-sources/catalog_conversions/property_outdoor/aquascape/,water_feature_kits,queued,Property/garden system category.
Run 03,SRC-0125,Gardall Safe Catalog,Medium,Safes / Fire Safes / Depositories / Wall Safes,Safe product extraction,data-sources/catalog_conversions/security_storage/gardall/,safes,queued,Avoid advice on defeating security.
Run 03,SRC-0128,Shoe and Leather Encyclopedia,Medium,Footwear / Shoe Types / Leather / Retail Methods,Taxonomy/glossary extraction,data-sources/reference_taxonomy/footwear_leather/,shoe_type_dictionary,queued,Taxonomy more than product rows.
Run 03,SRC-0202,Handbook of U.S. Labor Statistics,Medium,Employment / Earnings / Productivity / Prices / Time Use,Table index and model-variable dictionary,data-sources/statistical_reference/us_labor_statistics_2006/,labor_table_index,queued,Use public BLS originals where possible for current data.
Run 03,SRC-0203,The Almanac of American Education 2022,Medium,Education / Enrollment / Attainment / Schools,Table index and education model variables,data-sources/statistical_reference/us_education_2022/,education_table_index,queued,Useful for education/labour connection.
Run 03,SRC-0204,State Profiles 2018,Medium,State Economy / Population / Housing / Employment / Education,State profile template mapping,data-sources/statistical_reference/us_state_profiles_2018/,state_profile_metric_dictionary,queued,Good repeatable geography profile template.
Run 03,SRC-0210,Enterprise logistics and supply chain structure: the role of fit,Medium,Enterprise Logistics / Supply Chain Fit / Extended Enterprise,Theory-note extraction,docs/business_simulation_theory/supply_chain_fit/,supply_chain_fit_concepts,queued,Use for business simulator architecture.
Run 03,SRC-0211,"Women's Equality, Demography and Public Policies",Medium,Women’s Equality / Pronatalism / Immigration / Childcare / Leave Policy,Policy concept and comparison extraction,docs/reference_theory/demography_social_policy/womens_equality_demography_policy/,policy_components,queued,Aggregate/policy modelling only.
Run 03,SRC-0212,"Ethnic Demography: Canadian Immigrant, Racial and Cultural Variations",Medium,Immigration / Ethnicity / Language / Fertility / Mortality / Migration,Concept/index extraction; aggregate only,docs/reference_theory/demography_social_policy/ethnic_demography_canada/,ethnic_demography_topics,queued,No individual profiling/decisioning.
Run 03,SRC-0213,America’s Diverse Population,Medium,Race / Ethnicity / Social Class / Geography,Profile index and variable dictionary,data-sources/statistical_reference/demographic_profiles/americas_diverse_population/,demographic_profile_variables,queued,Aggregate-only demographic modelling.
Run 03,SRC-0301,U.S. Military Vehicles standard catalog,Medium,Military Vehicles / Trucks / Tracked Vehicles / Trailers,Historical vehicle taxonomy only,data-sources/reference_taxonomy/transportation/historical_military_vehicles/,military_vehicle_taxonomy,queued,EPUB not fully indexed in current file results.
Run 03,SRC-0403,Best Buy / Canadian Tire / Staples / Dollarama,Medium,Electronics / Tools / Office Supplies / Low Cost General Goods,Public web/API/feed where permitted,data-sources/acquisition_targets/general_retailers/,retailer_category_mapping,queued,Good broad consumer coverage.
Run 03,SRC-0405,"Computer, IT and communications product catalogs",Medium,Computers / Phones / Shortwave / CB / Microwave / Radio,NVD CPE plus retailer/manufacturer feeds,data-sources/acquisition_targets/it_communications/,it_product_source_queue,queued,Combine product identity with regulatory/frequency notes.
Run 03,SRC-0406,Furniture and furnishings catalogs including La-Z-Boy,Medium,Furnishings / Seating / Home Goods,Manufacturer/retailer catalog acquisition,data-sources/acquisition_targets/furnishings/,furnishing_source_queue,queued,Useful for shelter/household domain.
Reference / Hold,SRC-0117,J.B. Shannon & Sons Illustrated Catalogue of Building Hardware No. 24,Low,Building Hardware / Locks / Knobs / Latches,Historical taxonomy and price extraction,data-sources/catalog_conversions/historical_building_hardware/jb_shannon_1883/,historical_building_hardware,queued,Not current product source; useful taxonomy/reference.
Reference / Hold,SRC-0126,Master Lock keyed-alike / lock reference,Low,Locks / Keyed-Alike / Security Hardware,Taxonomy only; suppress key-code details,data-sources/reference_sensitive/security_hardware/master_lock/,lock_family_taxonomy,queued,Do not publish detailed keyed-alike code lists.
Reference / Hold,SRC-0127,Chamela Lingerie Catalog,Low,Apparel / Lingerie / Size / Color / Garment Type,SKU/garment extraction,data-sources/catalog_conversions/apparel/chamela/,apparel_products,queued,Usable as apparel SKU structure source.
Reference / Hold,SRC-0214,Giant Book of Games,Low,Games / Icebreakers / Indoor / Outdoor / Relays,Activity taxonomy extraction,data-sources/reference_taxonomy/recreation_games/group_activity_games/,activity_taxonomy,queued,Useful for recreation/program design.
Reference / Hold,SRC-0300,Ruger firearms collector catalog,Low,Firearms / Historical Models / Serial Numbers / Pricing,No public buying workflow; taxonomy/reference only,data-sources/reference_sensitive/firearms_collector_history/ruger/,firearms_model_taxonomy_restricted,queued,"Do not build acquisition, sourcing, pricing, or recommendation flows."
Reference / Hold,SRC-0302,Kershaw / Shun Knife Catalog,Low,Kitchen Knives / Cutlery / Blade Materials,Kitchen cutlery product extraction,data-sources/catalog_conversions/housewares_kitchen_cutlery/kershaw_shun_2004/,kitchen_cutlery,queued,Housewares cutlery okay; avoid weapon-use workflows.
Reference / Hold,SRC-0303,CRKT Knife Catalog,Low,Sport / Work / Professional Knives / Tools,Restricted taxonomy/reference only,data-sources/reference_sensitive/knives_tools/crkt_2009/,knife_tool_taxonomy_restricted,queued,No acquisition/deal-finding/carry guidance.
Reference / Hold,SRC-0304,Byrd / Spyderco Knife Catalog,Low,Folding Knives / Blade Steel / Edge Type,Restricted taxonomy/reference only,data-sources/reference_sensitive/knives_tools/byrd_spyderco_2006/,knife_model_reference_restricted,queued,No acquisition/deal-finding/carry guidance.
Reference / Hold,SRC-0305,Victorinox New Products catalog,Low,Swiss Army Knives / Multitools / Limited Editions,Reference taxonomy only,data-sources/reference_sensitive/knives_tools/victorinox_2009/,multitool_reference_restricted,queued,Image-based; lower priority.
Reference / Hold,SRC-0306,Great Wines of Europe,Low,Wine Regions / Vineyards / Vintages / Grapes,Reference taxonomy only; no sales workflow,data-sources/reference_taxonomy/regulated_alcohol/wine_regions_historical/,wine_region_taxonomy,queued,No alcohol retail recommendation workflow.
