uid,title,vendor,year,source_type,domain,sector,scope,status,priority,sensitivity,conversion_mode,recommended_path,expected_tables,notes
SRC-0112,GapVax PartsExpress parts catalog,GapVax,unknown,Vacuum Truck Parts Catalog,Blowers / Transfer Cases / Water Pumps / Vane Pumps / Sludge Pumps,Business / Commercial; Infrastructure / Logistics,Organizational,Historical/current mixed,High,Safety-critical vehicle/service equipment,Parts catalog extraction,data-sources/catalog_conversions/vacuum_water_truck/gapvax/,gapvax_parts; blower_models; pump_models; replacement_parts,Duplicate uploaded twice; keep one master.
SRC-0113,Kingfisher Welded Boat Guide,Kingfisher,2019,Marine Vehicle Product Catalog,Boats / Marine Vehicles / Options / Specs,Human / Consumer; Market / Exchange,Personal; Organizational,Historical model catalog,Medium,Normal,Model/spec extraction,data-sources/catalog_conversions/marine_vehicles/kingfisher_2019/,marine_vehicle_models; boat_specs; options_packages,Finished-product comparison source.
SRC-0114,Harkness Rose Catalogue,Harkness Roses,2015-2016,Horticulture Product Catalog,Garden Plants / Roses / Scent / Ratings,Human / Consumer; Market / Exchange,Personal,Historical seasonal catalog,Medium,Normal,Plant product extraction,data-sources/catalog_conversions/garden_horticulture/harkness_roses_2015_2016/,rose_varieties; plant_ratings; rose_category_tree,Good for house/garden/property domain.
SRC-0115,Respiratory Protection Catalog,North by Honeywell,2010,Safety PPE Catalog,Respirators / PAPR / Supplied Air / SCBA / Fit Testing,Business / Commercial; Human / Consumer; Public / Government,Organizational,Historical safety catalog,High,Safety-critical PPE,PPE taxonomy and selection-question extraction,data-sources/catalog_conversions/safety_ppe/respiratory_protection_north_honeywell/,respirators; cartridges_filters; papr; supplied_air; scba; fit_test_kits; selection_questions,Do not turn into medical/safety advice without current standards verification.
SRC-0116,CRC Custom Rollforming profile catalog,Custom Rollforming Corp.,unknown,Roll-formed Profile Catalog,Roll-formed Steel Profiles / Gauges / Section Geometry,Business / Commercial; Manufacturing,Organizational,Historical profile reference,Medium,Normal,Image/manual profile geometry extraction,data-sources/catalog_conversions/rollformed_profiles/crc_profile_catalog/,rollformed_profile_shapes; gauge_dimension_records,Image-based; no text parsed.
SRC-0117,J.B. Shannon & Sons Illustrated Catalogue of Building Hardware No. 24,J.B. Shannon & Sons,1883,Historical Building Hardware Catalog,Building Hardware / Locks / Knobs / Latches,Market / Exchange; Historical Reference,Historical,Historical/obsolete,Low,Historical reference,Historical taxonomy and price extraction,data-sources/catalog_conversions/historical_building_hardware/jb_shannon_1883/,historical_building_hardware; historical_prices; lock_knob_taxonomy,Not current product source; useful taxonomy/reference.
SRC-0118,MCM Electronics 2014 Catalog,MCM Electronics,2014,Electronics / Tools Catalog,Electronics / AV / Tools / Test Equipment,Business / Commercial; Market / Exchange,Organizational; Personal,Historical catalog,High,Normal,PDF category and product extraction,data-sources/catalog_conversions/electronics/mcm_2014/,electronics_components; test_equipment; av_products; tools,Previously identified as direct catalog source with many products.
SRC-0119,Starrett Precision Tools Catalog No. 28,Starrett,unknown,Precision Tool Catalog,Measuring Tools / Gages / Saws / Reference Tables,Business / Commercial,Organizational,Historical/current mixed,High,Normal,Product/spec extraction,data-sources/catalog_conversions/precision_tools/starrett_no_28/,precision_tools; gages; saws; reference_tables,Good source for measuring and quality inspection categories.
SRC-0120,Scientific Products General Catalog 1991-92,Scientific Products,1991-1992,Lab / Scientific Product Catalog,Laboratory / Diagnostics / Glassware / Instruments / Safety,Business / Commercial; Public / Government,Organizational,Historical catalog,High,Safety/lab critical,Sectioned catalog extraction,data-sources/catalog_conversions/lab_scientific/scientific_products_1991_92/,lab_products; lab_category_tree; instrument_specs; safety_supplies,Large lab/industrial source.
SRC-0121,IVES Architectural Hardware Catalog,IVES / Allegion,unknown,Architectural Hardware Catalog,Door Hardware / Hinges / Pivots / Pulls / Bolts / Stops,Business / Commercial; Shelter / Housing,Organizational; Personal,Historical/current mixed,High,Normal,Door hardware extraction,data-sources/catalog_conversions/door_hardware/ives/,door_hardware; finish_options; function_codes,Good brick source for doors and construction hardware.
SRC-0122,K2 Door Hardware Catalog,K2,unknown,Door Hardware Catalog,Commercial Door Hardware / Locks / Exit Devices / Closers,Business / Commercial; Shelter / Housing,Organizational,Historical/current mixed,High,Security hardware; avoid bypass details,Door hardware extraction,data-sources/catalog_conversions/door_hardware/k2/,locksets; exit_devices; door_closers; trims,Keep as product/spec reference; no security-bypass workflows.
SRC-0123,Aquascape Water Features Catalog,Aquascape,unknown,Outdoor Property Catalog,Pond Kits / Waterfalls / Pumps / Filtration / Lighting,Human / Consumer; Market / Exchange,Personal; Organizational,Historical/current mixed,Medium,Normal,Outdoor/property product extraction,data-sources/catalog_conversions/property_outdoor/aquascape/,water_feature_kits; pumps; filters; lighting; treatments,Property/garden system category.
SRC-0124,Waytek Automotive Electrical Supplies,Waytek,unknown,Automotive Electrical Catalog,Wire / Cable / Terminals / Connectors / Circuit Protection,Business / Commercial; Market / Exchange,Organizational,Historical/current mixed,High,Vehicle electrical safety,Automotive electrical product extraction,data-sources/catalog_conversions/vehicle_electrical/waytek/,automotive_wire; connectors; terminals; relays; switches; trailer_wiring,Excellent wiring/electrical brick source.
SRC-0125,Gardall Safe Catalog,Gardall,unknown,Safe / Security Storage Catalog,Safes / Fire Safes / Depositories / Wall Safes,Human / Consumer; Business / Commercial,Personal; Organizational,Historical/current mixed,Medium,Security product reference,Safe product extraction,data-sources/catalog_conversions/security_storage/gardall/,safes; fire_ratings; burglary_ratings; dimensions_weights,Avoid advice on defeating security.
SRC-0126,Master Lock keyed-alike / lock reference,Master Lock,unknown,Lock Reference,Locks / Keyed-Alike / Security Hardware,Business / Commercial; Human / Consumer,Organizational,Reference; sensitive fields withheld,Low,Security-sensitive,Taxonomy only; suppress key-code details,data-sources/reference_sensitive/security_hardware/master_lock/,lock_family_taxonomy; compatibility_notes_public,Do not publish detailed keyed-alike code lists.
SRC-0127,Chamela Lingerie Catalog,Chamela,unknown,Apparel Catalog,Apparel / Lingerie / Size / Color / Garment Type,Human / Consumer; Market / Exchange,Personal,Historical catalog,Low,Apparel normal,SKU/garment extraction,data-sources/catalog_conversions/apparel/chamela/,apparel_products; sizes; colors; garment_types,Usable as apparel SKU structure source.
SRC-0128,Shoe and Leather Encyclopedia,Reference,unknown,Footwear / Leather Taxonomy Reference,Footwear / Shoe Types / Leather / Retail Methods,Human / Consumer; Market / Exchange,Personal; Organizational,Historical reference,Medium,Normal,Taxonomy/glossary extraction,data-sources/reference_taxonomy/footwear_leather/,shoe_type_dictionary; leather_terms; manufacturers; sizing_terms,Taxonomy more than product rows.
SRC-0200,Business Statistics of the United States 2022,Bernan Press,2022,Statistical Reference Book,Business / GDP / Industry / Prices / Establishments,Business / Commercial; Market / Exchange; Finance / Capital,National,Reference; data mostly public-source-derived,High,Aggregate statistics,Reference index; source table locator; not full copyrighted table reproduction,data-sources/statistical_reference/us_economic_demographic/business_statistics_2022/,table_index; economic_indicator_crosswalk; source_locator,Use to identify public source tables and model variables.
SRC-0201,ProQuest Statistical Abstract of the United States 2021,ProQuest / Rowman & Littlefield,2021,Statistical Abstract,Population / Health / Education / Government / Labour / Business,Public / Government; Human / Consumer; Business / Commercial; Market / Exchange,National; State,Reference; public/private source locator,High,Aggregate statistics,"Table/source index, not full table copying",data-sources/statistical_reference/us_statistical_abstract_2021/,stat_abstract_table_index; source_locator; comparator_domain_mapping,Treat as guide to source datasets.
SRC-0202,Handbook of U.S. Labor Statistics,Bernan Press,2006,Labor Statistical Reference,Employment / Earnings / Productivity / Prices / Time Use,Human / Consumer; Business / Commercial; Market / Exchange,National,Historical reference,Medium,Aggregate statistics,Table index and model-variable dictionary,data-sources/statistical_reference/us_labor_statistics_2006/,labor_table_index; labour_model_variables,Use public BLS originals where possible for current data.
SRC-0203,The Almanac of American Education 2022,Bernan Press,2022,Education Statistical Reference,Education / Enrollment / Attainment / Schools,Human / Consumer; Public / Government,National; State; County,Reference,Medium,Aggregate statistics,Table index and education model variables,data-sources/statistical_reference/us_education_2022/,education_table_index; attainment_variables; school_metrics,Useful for education/labour connection.
SRC-0204,State Profiles 2018,Bernan Press,2018,State Statistical Profile,State Economy / Population / Housing / Employment / Education,Public / Government; Market / Exchange,State,Historical reference,Medium,Aggregate statistics,State profile template mapping,data-sources/statistical_reference/us_state_profiles_2018/,state_profile_metric_dictionary; state_profile_template,Good repeatable geography profile template.
SRC-0205,American Buyers: Demographics of Shopping,Consumer Expenditure reference,2008,Buyer Demand Reference,Consumer Spending / Household Segments / Product Categories,Human / Consumer; Market / Exchange; Business / Commercial,National,Historical buyer reference,High,Aggregate statistics,Buyer category and household-segment extraction,data-sources/consumer_demand/american_buyers_2008/,buyer_categories; household_segments; purchase_incidence; spending_by_segment,"Use for demand-model seed, not current forecasting alone."
SRC-0206,Applied Demography,Routledge,1991/2018,Method/Theory Book,Applied Demography / Data Sources / Estimation / Projection,Human / Consumer; Public / Government,National; Local,Theory/reference,High,Aggregate demographic methods,Method dictionary and model-design notes,docs/reference_theory/demography/applied_demography/,demographic_methods; data_source_types; projection_methods,Use for population segment modelling.
SRC-0207,Demography: The Study of Human Population,Waveland Press,2015,Method/Theory Book,Demography / Population / Fertility / Mortality / Migration,Human / Consumer; Public / Government,International; National,Theory/reference,High,Aggregate demographic methods,Concept dictionary and demographic process model,docs/reference_theory/demography/demography_study_human_population/,demography_concepts; population_processes; cohort_life_stage_model,Core theory source.
SRC-0208,Corporate Demography / Demography of Corporations and Industries,Reference,unknown,Business Simulation Theory,Business Birth / Growth / Mortality / Industry Density,Business / Commercial,Organizational; Market,Theory/reference,High,Normal,Business lifecycle model extraction,docs/business_simulation_theory/corporate_demography/,business_lifecycle_concepts; industry_density_variables; firm_mortality_factors,Supports business simulator.
SRC-0209,Agent-Mediated Electronic Commerce AMEC/TADA series,Academic proceedings,2003-2014,Agent Market Theory,Buyer Agents / Auctions / Negotiation / Trust / Market Simulation,Market / Exchange; Business / Commercial,International,Theory/reference,High,Normal,Agent-mechanism concept extraction,docs/business_simulation_theory/agent_mediated_ecommerce/,agent_roles; negotiation_protocols; auction_mechanisms; trust_reputation_models,Important for future buyer/seller agents.
SRC-0210,Enterprise logistics and supply chain structure: the role of fit,Journal of Operations Management / Elsevier,2000,Supply Chain Theory Paper,Enterprise Logistics / Supply Chain Fit / Extended Enterprise,Business / Commercial; Infrastructure / Logistics,Organizational; International,Theory/reference,Medium,Normal,Theory-note extraction,docs/business_simulation_theory/supply_chain_fit/,supply_chain_fit_concepts; logistics_capabilities,Use for business simulator architecture.
SRC-0211,"Women's Equality, Demography and Public Policies",Palgrave Macmillan,1993,Policy/Demography Reference,Women’s Equality / Pronatalism / Immigration / Childcare / Leave Policy,Public / Government; Human / Consumer,National; International comparison,Historical theory/reference,Medium,Sensitive aggregate policy,Policy concept and comparison extraction,docs/reference_theory/demography_social_policy/womens_equality_demography_policy/,policy_components; demographic_policy_concepts; country_policy_comparison,Aggregate/policy modelling only.
SRC-0212,"Ethnic Demography: Canadian Immigrant, Racial and Cultural Variations",Carleton University Press,1990,Canadian Demography Reference,Immigration / Ethnicity / Language / Fertility / Mortality / Migration,Human / Consumer; Public / Government,National; Provincial,Historical theory/reference,Medium,Sensitive aggregate demographic categories,Concept/index extraction; aggregate only,docs/reference_theory/demography_social_policy/ethnic_demography_canada/,ethnic_demography_topics; aggregate_variables,No individual profiling/decisioning.
SRC-0213,America’s Diverse Population,Bernan Press,2017,Demographic Profile Reference,Race / Ethnicity / Social Class / Geography,Human / Consumer; Public / Government,National; County,Historical aggregate reference,Medium,Sensitive aggregate demographic categories,Profile index and variable dictionary,data-sources/statistical_reference/demographic_profiles/americas_diverse_population/,demographic_profile_variables; chart_index,Aggregate-only demographic modelling.
SRC-0214,Giant Book of Games,Sterling Publishing,1956,Recreation Activity Reference,Games / Icebreakers / Indoor / Outdoor / Relays,Human / Consumer,Personal; Organizational,Historical reference,Low,Normal,Activity taxonomy extraction,data-sources/reference_taxonomy/recreation_games/group_activity_games/,activity_taxonomy; game_index; required_people_space_equipment,Useful for recreation/program design.
SRC-0300,Ruger firearms collector catalog,Gun Digest Books,2014,Firearms Collector Reference,Firearms / Historical Models / Serial Numbers / Pricing,Reference Sensitive,Historical,Restricted reference only,Low,Regulated weapons,No public buying workflow; taxonomy/reference only,data-sources/reference_sensitive/firearms_collector_history/ruger/,firearms_model_taxonomy_restricted; collector_reference_index,"Do not build acquisition, sourcing, pricing, or recommendation flows."
SRC-0301,U.S. Military Vehicles standard catalog,Krause / reference,2003/2010,Historical Military Vehicle Reference,Military Vehicles / Trucks / Tracked Vehicles / Trailers,Transportation Reference; Public / Government,Historical,Historical reference,Medium,Military/historical reference,Historical vehicle taxonomy only,data-sources/reference_taxonomy/transportation/historical_military_vehicles/,military_vehicle_taxonomy; historical_vehicle_models,EPUB not fully indexed in current file results.
SRC-0302,Kershaw / Shun Knife Catalog,Kershaw / KAI,2004,Kitchen Cutlery Catalog,Kitchen Knives / Cutlery / Blade Materials,Human / Consumer; Market / Exchange,Personal,Historical catalog,Low,Knife/cutlery; reference only where needed,Kitchen cutlery product extraction,data-sources/catalog_conversions/housewares_kitchen_cutlery/kershaw_shun_2004/,kitchen_cutlery; blade_materials; knife_types,Housewares cutlery okay; avoid weapon-use workflows.
SRC-0303,CRKT Knife Catalog,CRKT,2009,Knife/Tool Catalog,Sport / Work / Professional Knives / Tools,Reference Sensitive,Historical,Restricted reference,Low,Knives/weapons-adjacent,Restricted taxonomy/reference only,data-sources/reference_sensitive/knives_tools/crkt_2009/,knife_tool_taxonomy_restricted; blade_steel_reference,No acquisition/deal-finding/carry guidance.
SRC-0304,Byrd / Spyderco Knife Catalog,Byrd / Spyderco,2006,Knife Catalog,Folding Knives / Blade Steel / Edge Type,Reference Sensitive,Historical,Restricted reference,Low,Knives/weapons-adjacent,Restricted taxonomy/reference only,data-sources/reference_sensitive/knives_tools/byrd_spyderco_2006/,knife_model_reference_restricted,No acquisition/deal-finding/carry guidance.
SRC-0305,Victorinox New Products catalog,Victorinox,2009,Knife/Multitool Catalog,Swiss Army Knives / Multitools / Limited Editions,Reference Sensitive,Historical,Restricted reference,Low,Knife/multitool,Reference taxonomy only,data-sources/reference_sensitive/knives_tools/victorinox_2009/,multitool_reference_restricted,Image-based; lower priority.
SRC-0306,Great Wines of Europe,G.P. Putnam's Sons,1965,Wine Region Reference,Wine Regions / Vineyards / Vintages / Grapes,Reference Regulated,Historical; International,Regulated alcohol reference only,Low,Alcohol regulated,Reference taxonomy only; no sales workflow,data-sources/reference_taxonomy/regulated_alcohol/wine_regions_historical/,wine_region_taxonomy; grape_reference; vintage_reference_index,No alcohol retail recommendation workflow.
SRC-0400,Home Depot / Lowe's / RONA / Home Hardware catalog access paths,Retailers,current,Online Acquisition Target,Housing / Construction Materials / Tools / Appliances,Human / Consumer; Market / Exchange,National; Provincial,Access investigation,High,Normal,API/scrape where permitted; affiliate/feed preferred,data-sources/acquisition_targets/housing_construction_retailers/,retailer_access_inventory; category_mapping,Acquire via feeds/APIs/public downloadable data where available.
SRC-0401,Grainger / Fastenal / Gregg / Red Deer Bolt / Richelieu / Accuride / Blum,Industrial Suppliers,current,Online Acquisition Target,Tools / Fasteners / Hardware / Cabinet Hardware / Slides,Business / Commercial; Market / Exchange,National; Organizational,Access investigation,Very High,Normal,Vendor catalog/API/feed/manual PDF conversion,data-sources/acquisition_targets/industrial_hardware_suppliers/,supplier_access_inventory; category_mapping,High value for property and hardware bricks.
SRC-0402,NAPA / RockAuto / auto parts fitment sources,Auto Parts Retailers,current,Online Acquisition Target,Automotive Parts / Fitment / Maintenance,Human / Consumer; Market / Exchange,National,Access investigation,High,Normal,Fitment database/API/licensed data likely required for full scale,data-sources/acquisition_targets/auto_parts_fitment/,auto_parts_access_inventory; fitment_schema,Full fitment may require license/commercial access.
SRC-0403,Best Buy / Canadian Tire / Staples / Dollarama,Retailers,current,Online Acquisition Target,Electronics / Tools / Office Supplies / Low Cost General Goods,Human / Consumer; Market / Exchange,National,Access investigation,Medium,Normal,Public web/API/feed where permitted,data-sources/acquisition_targets/general_retailers/,retailer_category_mapping; product_feed_inventory,Good broad consumer coverage.
SRC-0404,"Windows, doors, stairs, railings, garage doors, fire doors, HVAC, water heaters, electrical, ducting, lighting",Building System Catalog Targets,current,Online Acquisition Target,Building Modular Components,Shelter / Housing; Business / Commercial,National; Organizational,Access investigation,High,Safety-critical where relevant,Manufacturer PDF/API/download catalog acquisition,data-sources/acquisition_targets/building_system_components/,building_component_source_queue; spec_schema,Important modular construction/component layer.
SRC-0405,"Computer, IT and communications product catalogs",IT/Communications Suppliers,current,Online Acquisition Target,Computers / Phones / Shortwave / CB / Microwave / Radio,Information / Records; Market / Exchange,International; National,Access investigation,Medium,Some radio/frequency products may be regulated,NVD CPE plus retailer/manufacturer feeds,data-sources/acquisition_targets/it_communications/,it_product_source_queue; communications_category_mapping,Combine product identity with regulatory/frequency notes.
SRC-0406,Furniture and furnishings catalogs including La-Z-Boy,Furniture Suppliers,current,Online Acquisition Target,Furnishings / Seating / Home Goods,Human / Consumer; Market / Exchange,Personal; National,Access investigation,Medium,Normal,Manufacturer/retailer catalog acquisition,data-sources/acquisition_targets/furnishings/,furnishing_source_queue; furniture_category_mapping,Useful for shelter/household domain.
